,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Ses04F_impro02_F006,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0,0.258174329996109,0.25724121928215027,0.3593534231185913,0.12523101270198822,0.001650896854698658,0.0003422411682549864,0.006967606488615274,0.0012785964645445347,0.2435949146747589,0.25252141803503036,0.3025655969977379,0.1222715936601162,0.2872600629925728,0.2715612202882767,0.3633873090147972,0.1370009072124958,0.3145771920681,0.27328023314476013,0.5350340008735657,0.17652520537376404,0.3145771920681,0.27328023314476013,0.5350340008735657,0.17652520537376404
Ses04F_impro02_F017,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.23766808211803436,0.2110857218503952,0.34867140650749207,0.20257477462291718,0.0007124912226572633,0.0011109868064522743,0.03291661664843559,0.02214260958135128,0.22168095409870148,0.19719001650810242,0.1629953384399414,0.062182895839214325,0.24197255074977875,0.24104313552379608,0.48541146516799927,0.31400951743125916,0.28195202350616455,0.24961087107658386,0.6032876968383789,0.427762508392334,0.28195202350616455,0.24961087107658386,0.6032876968383789,0.427762508392334
Ses04F_impro02_F018,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.20546406507492065,0.2744131088256836,0.12179970741271973,0.398323118686676,0.002461980562657118,0.00024118181318044662,0.002320042345672846,0.007842864841222763,0.16008475795388222,0.2652170807123184,0.07515416666865349,0.3130057379603386,0.2369016744196415,0.28783436119556427,0.16147276014089584,0.48256122320890427,0.279011607170105,0.28947073221206665,0.18353582918643951,0.49467629194259644,0.279011607170105,0.28947073221206665,0.18353582918643951,0.49467629194259644
Ses04F_impro02_F011,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2430824339389801,0.20736217498779297,0.4264783263206482,0.12307707965373993,0.0017596486723050475,0.001014884328469634,0.005249707028269768,0.0020483513362705708,0.20703667402267456,0.17884358763694763,0.4073379933834076,0.11842676252126694,0.27300259470939636,0.22197358310222626,0.45831337571144104,0.1400717794895172,0.3028824031352997,0.2591792345046997,0.5381128191947937,0.18907113373279572,0.3028824031352997,0.2591792345046997,0.5381128191947937,0.18907113373279572
Ses04F_impro02_M000,0.0,1.0,0.0,7.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,6.0,1.0,0.25812244415283203,0.22989797592163086,0.35516786575317383,0.15681174397468567,0.00044848487596027553,0.0007994288462214172,0.0020699871238321066,0.0038676776457577944,0.24500147625803947,0.22222280874848366,0.3500720113515854,0.12432457320392132,0.26787514984607697,0.25161152333021164,0.38202593475580215,0.16105049848556519,0.3055298328399658,0.25414156913757324,0.3948701322078705,0.31031283736228943,0.3055298328399658,0.25414156913757324,0.3948701322078705,0.31031283736228943
Ses04F_impro02_M021,0.0,3.0,3.0,7.0,5.0,4.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,3.0,6.0,2.0,0.2701374292373657,0.22982631623744965,0.2813704311847687,0.21866583824157715,0.0019270031480118632,0.0037658081855624914,0.014287695288658142,0.016570787876844406,0.23734697699546814,0.19106605648994446,0.17407532036304474,0.10957276821136475,0.2896866202354431,0.2756412625312805,0.36961987614631653,0.274433970451355,0.3329233229160309,0.3053046762943268,0.46638670563697815,0.49992600083351135,0.3329233229160309,0.3053046762943268,0.46638670563697815,0.49992600083351135
Ses04F_impro02_M024,0.0,0.0,0.0,13.0,3.0,10.0,0.0,0.0,6.0,3.0,4.0,0.0,4.0,0.0,9.0,0.0,0.28175607323646545,0.24122582376003265,0.38118934631347656,0.09582876414060593,0.0024841814301908016,0.000903115316759795,0.0039659533649683,0.00043958736932836473,0.2430197298526764,0.22642698884010315,0.31056517362594604,0.07956578582525253,0.30192089080810547,0.26278093457221985,0.42859211564064026,0.1112544909119606,0.3789859414100647,0.2769198715686798,0.48079660534858704,0.1302078813314438,0.3789859414100647,0.2769198715686798,0.48079660534858704,0.1302078813314438
Ses04F_impro02_M026,0.0,1.0,0.0,18.0,3.0,11.0,4.0,1.0,10.0,7.0,2.0,0.0,6.0,0.0,13.0,0.0,0.29520362615585327,0.23791910707950592,0.35668203234672546,0.11019521951675415,0.0020127601455897093,0.0022968598641455173,0.006382066290825605,0.000938984623644501,0.25693975389003754,0.2256631925702095,0.29033635556697845,0.08734916150569916,0.3320213258266449,0.2750243544578552,0.42458394169807434,0.1307453289628029,0.3633323609828949,0.29793038964271545,0.5077864527702332,0.17990748584270477,0.3633323609828949,0.29793038964271545,0.5077864527702332,0.17990748584270477
Ses04F_impro02_M012,1.0,0.0,0.0,12.0,6.0,4.0,2.0,1.0,4.0,8.0,1.0,0.0,2.0,1.0,10.0,0.0,0.2622767984867096,0.268543541431427,0.3463952839374542,0.12278436869382858,0.001290597254410386,0.0009537689038552344,0.002401885809376836,0.0016125147230923176,0.2393607646226883,0.23701384663581848,0.31679537892341614,0.09466619789600372,0.2898130416870117,0.2888014316558838,0.3718128800392151,0.13705262541770935,0.3283926546573639,0.3205017149448395,0.4185059368610382,0.21901406347751617,0.3283926546573639,0.3205017149448395,0.4185059368610382,0.21901406347751617
Ses04F_impro02_F009,0.0,0.0,10.0,9.0,12.0,4.0,0.0,3.0,4.0,11.0,3.0,1.0,3.0,4.0,6.0,6.0,0.2386213093996048,0.27085915207862854,0.2636415958404541,0.22687794268131256,0.0017847837880253792,0.0014776242896914482,0.017861973494291306,0.017926320433616638,0.20715565234422684,0.23762575536966324,0.16152240335941315,0.10957792028784752,0.26180122792720795,0.2975468635559082,0.3601498603820801,0.30463480949401855,0.3173842430114746,0.3251132071018219,0.5367572903633118,0.46778759360313416,0.3173842430114746,0.3251132071018219,0.5367572903633118,0.46778759360313416
Ses04F_impro02_F003,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2438143938779831,0.2598862946033478,0.387275755405426,0.1090235486626625,0.0015652102883905172,0.000896724290214479,0.004752244800329208,0.0016055291052907705,0.21289876848459244,0.23289628326892853,0.32449113577604294,0.07752238772809505,0.2824985049664974,0.27918965369462967,0.4300495386123657,0.1307062953710556,0.3023529648780823,0.3210337162017822,0.5139616131782532,0.18081113696098328,0.3023529648780823,0.3210337162017822,0.5139616131782532,0.18081113696098328
