session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude)),max(energy(energy)),mean(energy(energy)),var(energy(energy)),max(silence_ratio(silence_ratio)),mean(silence_ratio(silence_ratio)),var(silence_ratio(silence_ratio)),max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing)),max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Ses01F_impro01_F000,3054.0,12.114375,1178449.7183433594,779.8421052631578,-0.9942763157894736,183330.3254873356,838613.9224376731,23.717703588123268,142249404889.78424,9667091.0,6968832.315789999,6828566526460.0,0.006875,0.00348684210526,4.45377423823e-06,24.0,9.15789473684,59.8171745152,23.6744127314,0.0178031303255,0.355580604169,19.8048136253,0.0144477317601,0.256623313428,3.25677906643,6.05304488998e-06,0.00208155276618
Ses01F_impro01_F001,6246.0,6.08125,3466426.1866308595,1292.7692307692307,-0.9940384615384618,353065.6670608775,3858525.408284024,13.264442044193787,842045276584.0709,9728035.0,6384708.30769,5558332267470.0,0.006875,0.00394230769231,5.19138313609e-06,31.0,8.61538461538,99.9289940828,26.097287568000002,0.0172640929195,0.43960019888,19.110272256400002,0.0143343957514,0.24583497253000003,8.30851137576,3.5042969404e-06,0.0058121390724700005
Ses01F_impro01_F002,6377.0,5.854375,2319193.3017152343,855.5483870967741,-0.8661895161290324,207001.7760576235,2101205.086368366,10.136823421240894,264112851034.94354,10181736.0,6743068.80645,5255886293960.0,0.006875,0.0037701612903200004,5.4053394901099996e-06,43.0,7.967741935479999,110.482830385,23.5352204665,0.0168847433002,0.356529713884,18.3233459555,0.014267776453599999,0.226540349088,5.283814709730001,4.93047116731e-06,0.00317759126767
Ses01F_impro01_F005,29117.0,26.83125,79951397.51140273,5111.375,-0.774921875,5145192.895472315,28655635.584375,144.8100081481934,159563090976989.38,9810974.0,3208707.175,9703348206310.0,0.008125,0.001609375,4.958740234380001e-06,31.0,3.575,35.344375,29.0820646695,0.019581010447,0.536468421827,22.985678929699997,0.0160674512424,0.352188534239,15.981883542,5.8402889932e-06,0.012143191450799999
Ses01F_impro01_F012,32767.0,7.166875,85724697.32173593,6008.222222222223,-3.982291666666667,7807247.031147265,75580152.83950615,102.6554604456018,428628383718558.8,9398375.0,3676764.55556,10920031754400.0,0.006875,0.0017824074074100002,2.97175068587e-06,31.0,4.48148148148,69.5829903978,30.1769205421,0.0202752130803,0.584096014662,22.2296127591,0.014936464748200002,0.33371259481,16.4780560279,5.21170310842e-06,0.013358489026799997
Ses01F_impro01_F014,12805.0,20.429375,14369554.383249607,3777.68,-0.7456124999999999,2474221.2365046483,10779635.8976,124.29496985140624,10437332577498.477,10210000.0,3698853.46,10222376000700.0,0.00625,0.0014625,2.80640625e-06,31.0,4.26,58.2724,27.201864277,0.0195002904338,0.472111016372,22.1353723175,0.0161366793856,0.32960987575999995,11.849390250499999,4.47748225889e-06,0.00890686362172
Ses01F_impro01_M011,32767.0,32.9075,151861901.39849648,5506.194444444444,-0.20447048611111127,6741691.899154333,41043291.46219136,198.4805392215682,394668566762571.2,10849156.0,3027632.625,7446469162510.0,0.009375,0.00119791666667,2.29763454861e-06,28.0,2.06944444444,23.4812885802,31.6687077446,0.0196052508912,0.637343534994,23.8044274433,0.0165806614731,0.374625090222,12.1121460862,5.42536010271e-06,0.010136793679700001
Ses01F_impro01_M013,32767.0,574.6375,496813717.81234384,14977.05,10.624729166666668,43963522.7566515,148485690.94749993,6585.86566615061,6426439613213682.0,8601334.0,2018684.56667,7763262870420.0,0.080625,0.00265625,0.000111180013021,9.0,1.5833333333300001,3.94305555556,33.5807262023,0.0247629556546,0.719288186548,26.498750738200002,0.0175724495907,0.461935049187,14.1929100428,8.71298194967e-06,0.015168632560299999
Ses01F_impro02_F000,2999.0,19.886875,873272.4041246092,461.989247311828,-0.8730376344086023,51873.07682276546,244196.99988437968,47.808818544954605,18861595777.35885,10550658.0,7591258.301080001,3489374337550.0,0.010625,0.00411290322581,5.1018361949400005e-06,106.0,14.3440860215,360.50526072400004,22.0176737794,0.0189812394183,0.309977722851,17.723677763599998,0.015222669365,0.20980333255,1.94485112805,5.3604721138300005e-06,0.00104779873528
Ses01F_impro02_F001,1199.0,10.570625,259272.3448109375,381.0344827586207,-0.8271120689655171,36305.59450603448,95160.44708680145,25.989181315026755,4160545053.103161,9415137.0,7341228.482760001,5116929523570.0,0.01,0.00396551724138,5.3953626635e-06,99.0,14.448275862100001,466.454221165,20.140741351099997,0.0175573062061,0.262988297044,17.4032115178,0.014995329265700002,0.202046521404,1.15048469011,4.54926671175e-06,0.0005304700281030001
