time,session,label
[6.2901 - 8.2357],Ses01F_impro01_F000,neu
[10.0100 - 11.3925],Ses01F_impro01_F001,neu
[14.8872 - 18.0175],Ses01F_impro01_F002,neu
[27.4600 - 31.4900],Ses01F_impro01_F005,neu
[85.2700 - 88.0200],Ses01F_impro01_F012,ang
[97.8900 - 102.9600],Ses01F_impro01_F014,neu
[87.1500 - 94.3900],Ses01F_impro01_M011,ang
[101.8400 - 107.8700],Ses01F_impro01_M013,ang
[7.2688 - 16.6000],Ses01F_impro02_F000,sad
[19.8500 - 22.7800],Ses01F_impro02_F001,sad
[26.5659 - 32.2895],Ses01F_impro02_F002,sad
[32.3075 - 37.9600],Ses01F_impro02_F003,neu
[47.3400 - 53.1100],Ses01F_impro02_F004,sad
[58.7500 - 61.3100],Ses01F_impro02_F005,sad
[64.2550 - 68.4700],Ses01F_impro02_F006,neu
[87.2031 - 91.0900],Ses01F_impro02_F008,sad
[97.9400 - 102.1900],Ses01F_impro02_F010,sad
[117.8300 - 120.8605],Ses01F_impro02_F012,sad
[127.8200 - 133.9455],Ses01F_impro02_F013,sad
[139.0300 - 146.4300],Ses01F_impro02_F014,sad
[151.4221 - 155.0100],Ses01F_impro02_F015,sad
[163.5400 - 165.7300],Ses01F_impro02_F016,neu
[169.3600 - 176.0150],Ses01F_impro02_F017,sad
[176.0800 - 179.1300],Ses01F_impro02_F018,neu
[182.8300 - 185.8894],Ses01F_impro02_F019,sad
[186.5800 - 191.1100],Ses01F_impro02_F020,sad
[21.7600 - 27.5558],Ses01F_impro02_M001,sad
[69.3400 - 74.2900],Ses01F_impro02_M005,sad
[114.1775 - 117.8500],Ses01F_impro02_M009,sad
[120.4105 - 124.6300],Ses01F_impro02_M010,sad
[133.8800 - 137.1000],Ses01F_impro02_M011,sad
[147.0300 - 151.7101],Ses01F_impro02_M012,neu
[157.9800 - 162.7100],Ses01F_impro02_M013,sad
[164.8850 - 169.5000],Ses01F_impro02_M014,sad
[175.4700 - 176.7200],Ses01F_impro02_M015,neu
[4.8800 - 7.7400],Ses01F_impro03_F000,hap
[7.9300 - 11.3700],Ses01F_impro03_F001,hap
[12.8000 - 15.3700],Ses01F_impro03_F002,hap
[21.7500 - 25.5200],Ses01F_impro03_F004,hap
[25.5584 - 28.1400],Ses01F_impro03_F005,hap
[28.3700 - 34.7100],Ses01F_impro03_F006,hap
[40.1200 - 42.7900],Ses01F_impro03_F008,hap
[42.8400 - 44.5400],Ses01F_impro03_F009,hap
[47.8700 - 51.0750],Ses01F_impro03_F010,hap
[55.8650 - 58.1500],Ses01F_impro03_F012,hap
[60.7300 - 65.8600],Ses01F_impro03_F013,hap
[79.0350 - 81.0875],Ses01F_impro03_F016,hap
[82.0975 - 85.0800],Ses01F_impro03_F017,neu
[85.1000 - 88.0225],Ses01F_impro03_F018,neu
[88.0800 - 89.5000],Ses01F_impro03_F019,neu
[92.7500 - 98.2100],Ses01F_impro03_F021,hap
[99.7775 - 102.0300],Ses01F_impro03_F022,neu
[102.6200 - 103.4625],Ses01F_impro03_F023,neu
[103.7800 - 108.1825],Ses01F_impro03_F024,hap
[110.2300 - 114.1600],Ses01F_impro03_F025,hap
[114.1900 - 120.2000],Ses01F_impro03_F026,hap
[3.2400 - 5.4600],Ses01F_impro03_M000,neu
[6.6000 - 8.6600],Ses01F_impro03_M001,neu
[34.2500 - 36.3400],Ses01F_impro03_M006,neu
[37.7175 - 40.4700],Ses01F_impro03_M007,hap
[42.0900 - 43.4100],Ses01F_impro03_M008,neu
[44.1600 - 49.0700],Ses01F_impro03_M009,neu
[52.9200 - 56.8500],Ses01F_impro03_M011,neu
[65.6425 - 68.4400],Ses01F_impro03_M013,hap
[73.4100 - 76.9975],Ses01F_impro03_M014,hap
[78.3200 - 80.5000],Ses01F_impro03_M015,hap
[80.7175 - 82.5225],Ses01F_impro03_M016,neu
[89.1200 - 93.9100],Ses01F_impro03_M019,neu
[97.0300 - 101.6500],Ses01F_impro03_M020,neu
[101.6700 - 104.3500],Ses01F_impro03_M021,neu
[107.7100 - 111.4000],Ses01F_impro03_M023,hap
[117.3600 - 119.5800],Ses01F_impro03_M024,neu
[7.2455 - 11.6400],Ses01F_impro04_F000,neu
[11.7448 - 16.1500],Ses01F_impro04_F001,neu
[43.3500 - 45.7596],Ses01F_impro04_F005,neu
[46.2735 - 49.8300],Ses01F_impro04_F006,neu
