session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude))
Ses01F_impro01_F000,3054.0,12.00439453125,1360276.6602151394,811.5666666666667,-0.8431123607961154,181326.84086796673,878117.7122222224,33.050631605906545,137992471644.98212
Ses01F_impro01_F001,6246.0,9.47216796875,3160976.809772253,1288.5714285714287,-0.593786104354608,341740.425189388,4189368.530612246,17.480246323646394,661225862940.2935
Ses01F_impro01_F002,6377.0,5.80615234375,2444188.606509924,969.7291666666666,-0.8170251514770258,208845.48375260757,2394190.4474826385,6.151289304135535,245884774645.48892
Ses01F_impro01_F003,5117.0,13.73291015625,3191561.7849121094,1442.6521739130435,-0.6272882920664319,572745.8969352527,3351807.7051039697,26.87353417444484,1138191755204.2678
Ses01F_impro01_F004,7602.0,18.5537109375,7405330.274764776,3128.3584905660377,-0.8832251290333606,1588932.8639700362,5813843.135635459,59.34340616330657,3114932015360.454
Ses01F_impro01_F005,29117.0,18.10595703125,62986018.288829565,5756.387096774193,-0.7888219277795565,5186607.011112951,35151290.26951093,83.64953733323854,109401643993578.7
Ses01F_impro01_F006,32767.0,50.40380859375,97296823.34153748,9764.194444444445,-1.4010687934027777,11899518.301761646,76627325.43441358,177.44718912942915,329927515862599.25
Ses01F_impro01_F007,28538.0,30.5927734375,42861421.166713715,6136.6781609195405,-0.742918598189113,4983319.048995005,40542124.08032766,124.42839839387696,65184340960109.93
Ses01F_impro01_F008,30846.0,24.6396484375,54055273.77938461,8740.926829268292,-0.8602454825996431,8266248.635025175,76562172.60440214,125.77660624239319,143230550906381.84
Ses01F_impro01_F009,15127.0,15.79150390625,16792065.63727355,4031.703125,-0.858466204474954,2629635.59546915,24673699.177490234,39.876414120258325,19230154119679.605
Ses01F_impro01_F010,28469.0,21.84619140625,104854734.59414457,8526.644444444444,-1.0139439770299146,13884970.524125112,55094056.362469144,69.76247599243446,544345912053021.94
Ses01F_impro01_F011,28265.0,28.78564453125,80454227.87348533,8089.522875816993,-0.7923174748176709,7162965.460501944,48475512.340979956,104.51612075018679,112040391235505.3
Ses01F_impro01_F012,32767.0,18.06103515625,98036272.30640316,6885.261904761905,-3.8891400418674413,7840625.211534528,91365347.57426305,196.2441462466773,405586910070598.7
Ses01F_impro01_F013,15769.0,31.9599609375,21418654.941095114,4267.865384615385,-0.8370424618892007,3078265.666455033,23309694.23187869,75.45707301501952,24793921220443.895
Ses01F_impro01_F014,12805.0,23.39111328125,12278948.110510826,4229.265822784811,-0.7426241163076112,2469653.502323242,12157061.258452166,43.12458126396621,8615183405520.357
Ses01F_impro01_F015,32767.0,23.3798828125,158659954.2460327,13845.47619047619,-2.9842270724291873,19508115.089220922,59281616.53514739,168.86973074649475,974255093700310.2
Ses01F_impro01_M000,6549.0,29.90234375,5089487.93309021,1607.2444444444445,-0.7681214016500475,542647.296009385,3609633.5624691374,50.38809241065532,1420487784885.9954
Ses01F_impro01_M001,3145.0,5.85791015625,1093727.053188324,652.2931034482758,-0.69403317515996,91231.5571981661,593512.8968489895,14.345005496510137,53372134540.09868
Ses01F_impro01_M002,9930.0,17.8642578125,12763790.15184021,3233.1555555555556,-0.8478417764019917,1836519.6409412115,9647413.020246914,47.62718438398334,9600839272695.969
Ses01F_impro01_M003,19930.0,25.0517578125,24616978.42092514,6312.014084507042,-0.8975420884683099,5027165.507352552,18818586.1265622,158.79010399455376,32008851671947.895
Ses01F_impro01_M004,19936.0,40.16064453125,39126696.118759155,7898.840909090909,-0.826904726170982,10240354.35481585,35226060.13378099,198.0686196501082,135917667173998.69
Ses01F_impro01_M005,21178.0,59.720703125,51502739.29173279,7998.571428571428,-0.8574053214714384,8721463.59986274,41413544.92743765,360.10267170018557,117186615600141.58
Ses01F_impro01_M006,23412.0,78.125,80836945.05524993,9158.348314606741,-0.8050422501368787,11178063.807284582,37164182.29440726,643.671214073281,225180642869895.28
Ses01F_impro01_M007,23413.0,38.880859375,22582532.780920982,7722.59793814433,-0.8423944870441419,6077987.955148696,26463517.642469972,227.85690697292713,32742740383611.527
Ses01F_impro01_M008,25956.0,39.2734375,50979735.94292426,6654.308823529412,-0.7673013164793884,8123803.569478484,63370791.65462802,217.57826221538454,177509584077841.84
Ses01F_impro01_M009,31099.0,29.9267578125,41201656.39423728,5565.384615384615,-0.7439067912700725,4449872.028361817,32351561.15976333,136.6244985332059,51404619203956.46
Ses01F_impro01_M010,26224.0,31.57080078125,37315101.244140625,8667.40579710145,-0.9250490016435678,6752091.939463779,38713322.5889519,137.5497318115528,51366633191700.85
Ses01F_impro01_M011,32767.0,35.01708984375,152095197.52475518,6043.221238938053,-0.1372359798112261,6713166.780449616,45851008.26078783,155.9624341807314,356004116960633.25
Ses01F_impro01_M012,4192.0,27.99560546875,1571340.1298217773,1107.25,-0.10415339822841746,179923.86699507208,1459371.7784090908,53.02014804302687,144510997692.66434
Ses01F_impro01_M013,32767.0,557.705078125,474347669.53899765,16175.978723404256,10.45872744187113,43845501.21433748,153494220.08465368,6042.8381552987685,5318113713528427.0
Ses01F_impro02_F000,2999.0,8.58056640625,1171964.885219574,474.2068965517241,-0.7849542720183079,52001.14133106918,235700.2606420928,10.693322259565631,21248395325.58137
Ses01F_impro02_F001,1199.0,8.478515625,248397.39504146576,401.02222222222224,-0.8848748933966861,36514.39363656478,103056.02172839499,17.446754336201888,4280183696.3370314
Ses01F_impro02_F002,4500.0,19.42041015625,2809949.863546133,855.9325842696629,-0.8855216259996469,162997.35293105873,1024097.6583764675,32.56364565682968,182480482256.13962
Ses01F_impro02_F003,4965.0,7.83056640625,2036337.3729848862,863.6590909090909,-1.0237664463316132,154564.53897419246,1004503.8155991738,18.340939845607462,106516046475.20264
Ses01F_impro02_F004,3938.0,17.14404296875,1636308.156677246,774.3888888888889,-0.7604050867835422,127332.81443883046,901507.2820987647,19.521107544989952,74601447473.36694
Ses01F_impro02_F005,3250.0,17.12841796875,2888809.2663629055,757.2051282051282,-0.8517127403846154,262606.36408028234,977021.8040762654,20.714015742495686,454291311360.9867
Ses01F_impro02_F006,6948.0,13.2041015625,5398772.689328909,1449.4,-0.9339160724385908,406556.7628741807,2836304.670769231,20.90856674934905,798756066591.566
Ses01F_impro02_F007,13630.0,18.890625,9678897.713623047,3817.53125,-0.8329225667317708,1826441.8457035683,11657031.728190104,52.59649244361018,5825554892498.4
Ses01F_impro02_F008,2592.0,8.087890625,626205.296888113,796.7666666666667,-0.8055848303986887,98824.13160503327,587295.0788888889,13.108488069179641,24528413307.334118
Ses01F_impro02_F009,2485.0,8.68310546875,620964.386764288,678.6716417910447,-0.8293640600799072,69702.79651309509,370001.7727779015,16.762210441471588,13386364182.607687
Ses01F_impro02_F010,1795.0,10.93701171875,318544.62596035004,544.6060606060606,-0.8295960911195286,42552.934578567554,291497.5114784207,10.491388412084063,4773477437.9092655
Ses01F_impro02_F011,3336.0,11.0751953125,1690801.8235814571,622.8076923076923,-0.7693835795167003,135467.5377495161,565208.5784023668,18.225938479779057,108620536424.56631
Ses01F_impro02_F012,3131.0,10.19970703125,1681504.4264256954,679.1914893617021,-0.7903908459906531,144576.02332557048,585905.1335445901,17.28506166837085,117599164075.37053
Ses01F_impro02_F013,7276.0,13.71533203125,5004868.238372564,1017.0315789473684,-0.842555719452606,330577.1896194417,2917472.1779501396,17.518265787627737,822752933784.923
Ses01F_impro02_F014,3205.0,18.14013671875,2651458.8949124813,804.2782608695652,-0.8080280622909699,220485.93789303795,681466.3399621929,17.77845908313628,248426872927.00217
Ses01F_impro02_F015,4255.0,6.7021484375,1494535.8994653225,801.6964285714286,-0.8387315645245496,148148.01323187168,1016292.7471301018,9.176927296229072,101843646271.37245
Ses01F_impro02_F016,2420.0,6.85986328125,403182.3099515438,697.4411764705883,-0.8326395228143132,63647.87729830743,499798.59948096884,13.074832447998116,11590658271.424314
Ses01F_impro02_F017,10206.0,17.42822265625,7798483.445022345,2783.4271844660193,-0.8400457096026457,1095246.10127985,6893988.458290132,44.8871424341156,2810016909189.923
Ses01F_impro02_F018,2492.0,18.19384765625,536086.7753973007,854.063829787234,-0.9795913726916902,115982.92570573106,668481.5491172476,33.09697732156688,30031729934.222828
Ses01F_impro02_F019,2046.0,7.6865234375,656683.9913117886,594.1063829787234,-0.7996320483765934,85508.82944041795,303233.5418741512,19.640974745843234,25088569440.681328
Ses01F_impro02_F020,2040.0,12.19873046875,772378.4955406189,682.0,-0.7685884206517906,82601.92335884002,305186.4285714286,32.67361690610206,21849152419.631916
Ses01F_impro02_M000,1903.0,20.73672230652504,492180.02548384666,666.1489361702128,-0.6646774509249992,61101.10876671191,225579.8714350385,42.6975848490573,11257294090.075388
Ses01F_impro02_M001,3143.0,17.365234375,970996.686517477,889.3555555555556,-0.7858368949701697,151776.0127425035,551199.1846913581,37.511340475845664,42334974771.27438
Ses01F_impro02_M002,3926.0,13.6982421875,1113446.7515525818,704.2371134020618,-0.8287878320817522,104998.70555358622,524177.02625146124,16.88854925380035,51789797231.31964
Ses01F_impro02_M003,3251.0,11.99072265625,838189.3669507504,1191.8484848484848,-0.8211156683854872,220218.9027261787,632814.229568411,23.41640214043146,51239630572.44642
Ses01F_impro02_M004,3060.0,12.47802734375,809940.7398488522,961.5098039215686,-0.8256194925887022,146722.86898761112,774814.9950019225,18.479244007537254,45310461966.866615
Ses01F_impro02_M005,2921.0,10.5439453125,938724.0927579403,1192.909090909091,-0.8695702387101536,235086.55120835893,703678.160566706,16.348770577728242,62461622270.94531
Ses01F_impro02_M006,2530.0,11.58642578125,1192625.9433250427,752.0462962962963,-0.741288203007062,108082.24891110342,393829.80341220874,22.41547455146373,41260263137.35101
Ses01F_impro02_M007,1246.0,6.24755859375,251090.54576086998,469.8135593220339,-0.8725936799328928,31916.03861087761,110461.98218902614,11.19670145189829,2506909440.797129
