session,averageAmplitude
Ses01F_impro01_F000,196.07558867936652
Ses01F_impro01_F001,219.2994710429947
Ses01F_impro01_F002,191.32719032026196
Ses01F_impro01_F003,347.42374791318866
Ses01F_impro01_F004,751.9632789045911
Ses01F_impro01_F005,1181.2080367251353
Ses01F_impro01_F006,2034.2414324324325
Ses01F_impro01_F007,1141.5101604278075
Ses01F_impro01_F008,1663.9766431924882
Ses01F_impro01_F009,701.9950762195122
Ses01F_impro01_F010,2017.2366866438356
Ses01F_impro01_F011,1551.1567915392457
Ses01F_impro01_F012,1157.9552954545454
Ses01F_impro01_F013,908.8413171977847
Ses01F_impro01_F014,898.9084935897436
Ses01F_impro01_F015,2789.3919936131388
Ses01F_impro01_M000,334.78146792940163
Ses01F_impro01_M001,146.81587614732584
Ses01F_impro01_M002,683.6482348859398
Ses01F_impro01_M003,1348.927384868421
Ses01F_impro01_M004,1882.3404562197666
Ses01F_impro01_M005,1652.5068183217386
Ses01F_impro01_M006,2067.999380434783
Ses01F_impro01_M007,1533.8301565520487
Ses01F_impro01_M008,1319.1629983418131
Ses01F_impro01_M009,1154.1607726969291
Ses01F_impro01_M010,1587.4670673855205
Ses01F_impro01_M011,1215.0075363219642
Ses01F_impro01_M012,212.18708304705333
Ses01F_impro01_M013,3358.226505249847
Ses01F_impro02_F000,122.5081078908767
Ses01F_impro02_F001,117.50825511945392
Ses01F_impro02_F002,201.5578208264174
Ses01F_impro02_F003,200.3279632905794
Ses01F_impro02_F004,176.7209891788256
Ses01F_impro02_F005,214.875048828125
Ses01F_impro02_F006,299.7291221826809
Ses01F_impro02_F007,745.2499797734628
Ses01F_impro02_F008,173.4599527247584
Ses01F_impro02_F009,157.1007072748268
Ses01F_impro02_F010,120.80716176470588
Ses01F_impro02_F011,182.64757139644703
Ses01F_impro02_F012,193.10594373865698
Ses01F_impro02_F013,222.1518565000459
Ses01F_impro02_F014,229.14269425675676
Ses01F_impro02_F015,184.5272967982441
Ses01F_impro02_F016,141.87074402808298
Ses01F_impro02_F017,549.8475380121902
Ses01F_impro02_F018,184.32926229508197
Ses01F_impro02_F019,156.6850663942799
Ses01F_impro02_F020,163.7751762579506
Ses01F_impro02_M000,150.10724464086573
Ses01F_impro02_M001,226.4116657500566
Ses01F_impro02_M002,172.2499223750238
Ses01F_impro02_M003,289.7026790024928
Ses01F_impro02_M004,214.92208774583963
Ses01F_impro02_M005,310.7669288753646
Ses01F_impro02_M006,183.778688745409
Ses01F_impro02_M007,112.5189379722254
Ses01F_impro02_M008,92.06070598282489
Ses01F_impro02_M009,122.95323349217155
Ses01F_impro02_M010,110.32359171098044
Ses01F_impro02_M011,81.80290766513325
Ses01F_impro02_M012,234.73053244481244
Ses01F_impro02_M013,187.2646009513742
Ses01F_impro02_M014,188.72288732394367
Ses01F_impro02_M015,238.6796
Ses01F_impro02_M016,185.22930143676126
Ses01F_impro03_F000,772.7773164335664
Ses01F_impro03_F001,679.172296008285
Ses01F_impro03_F002,1966.9840219849705
Ses01F_impro03_F003,3335.0467732546335
Ses01F_impro03_F004,2863.874285051145
Ses01F_impro03_F005,1690.7054423086233
Ses01F_impro03_F006,909.2342468454259
Ses01F_impro03_F007,847.7453283128735
Ses01F_impro03_F008,1099.7431647940075
Ses01F_impro03_F009,1325.7930070958491
Ses01F_impro03_F010,1096.3525809785683
Ses01F_impro03_F011,832.1920044549958
Ses01F_impro03_F012,1061.5675756995543
Ses01F_impro03_F013,1202.4549275697802
Ses01F_impro03_F014,1270.6468967770036
Ses01F_impro03_F015,1540.2221068593833
Ses01F_impro03_F016,664.7835500471999
Ses01F_impro03_F017,480.8712070410729
Ses01F_impro03_F018,479.1163387510693
Ses01F_impro03_F019,200.62740437519258
Ses01F_impro03_F020,574.1235563204855
Ses01F_impro03_F021,872.8024267399268
Ses01F_impro03_F022,296.3178501068287
Ses01F_impro03_F023,171.54254766674086
Ses01F_impro03_F024,588.6578222600795
Ses01F_impro03_F025,1084.7827290076336
Ses01F_impro03_F026,807.467683732152
Ses01F_impro03_M000,400.7664067119007
Ses01F_impro03_M001,579.4832367486878
Ses01F_impro03_M002,1513.6889539274925
Ses01F_impro03_M003,2903.615886235072
Ses01F_impro03_M004,1900.1345412209853
Ses01F_impro03_M005,1218.4473101265824
Ses01F_impro03_M006,710.4856459330143
Ses01F_impro03_M007,729.7253570698699
Ses01F_impro03_M008,720.4699086130972
Ses01F_impro03_M009,813.6174134419553
Ses01F_impro03_M010,768.9942374609367
Ses01F_impro03_M011,1037.0061545801527
Ses01F_impro03_M012,1020.8314655172413
Ses01F_impro03_M013,3482.2676720285967
Ses01F_impro03_M014,964.0799491280336
Ses01F_impro03_M015,1047.991743119266
Ses01F_impro03_M016,595.3761426592798
Ses01F_impro03_M017,754.5329194001874
Ses01F_impro03_M018,204.95778260869565
Ses01F_impro03_M019,409.4660882045929
Ses01F_impro03_M020,617.4644345238095
Ses01F_impro03_M021,413.5261660447761
Ses01F_impro03_M022,499.46698042168674
Ses01F_impro03_M023,1021.4046138992869
Ses01F_impro03_M024,383.63416762859316
Ses01F_impro04_F000,612.1522641938788
Ses01F_impro04_F001,354.1186969722766
Ses01F_impro04_F002,434.8642261423758
