session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Ses01F_impro01_F000,9667091.0,6968832.31579,6.82856652646e+12
Ses01F_impro01_F001,9728035.0,6384708.30769,5.55833226747e+12
Ses01F_impro01_F002,10181736.0,6743068.80645,5.25588629396e+12
Ses01F_impro01_F003,8843450.0,6135348.14286,8.65877943167e+12
Ses01F_impro01_F004,9000934.0,3569815.41176,1.11576512802e+13
Ses01F_impro01_F005,9810974.0,3208707.175,9.70334820631e+12
Ses01F_impro01_F006,9044170.0,1192293.26087,5.62524315385e+12
Ses01F_impro01_F007,9974038.0,3499955.07143,1.18642213848e+13
Ses01F_impro01_F008,8183236.0,1964736.80769,7.71275035072e+12
Ses01F_impro01_F009,10342966.0,5242915.625,1.16605580025e+13
Ses01F_impro01_F010,7600636.0,1885596.44828,4.7860611585e+12
Ses01F_impro01_F011,8847267.0,2332590.05102,8.21992415136e+12
Ses01F_impro01_F012,9398375.0,3676764.55556,1.09200317544e+13
Ses01F_impro01_F013,9054284.0,4308970.75758,1.03274625021e+13
Ses01F_impro01_F014,10210000.0,3698853.46,1.02223760007e+13
Ses01F_impro01_F015,2444950.0,604749.962963,9.59277996414e+11
Ses01F_impro01_M000,9518561.0,5957296.2069,7.89158130926e+12
Ses01F_impro01_M001,10741377.0,7494159.13514,4.77845029267e+12
Ses01F_impro01_M002,8863631.0,4271752.0,1.0056245577e+13
Ses01F_impro01_M003,10162903.0,2263765.02222,8.03977637073e+12
Ses01F_impro01_M004,8701400.0,2348377.82143,8.95215996274e+12
Ses01F_impro01_M005,8772284.0,3070440.80247,1.03974551734e+13
Ses01F_impro01_M006,8513500.0,1585738.64912,4.40228099329e+12
Ses01F_impro01_M007,9415474.0,2507729.64516,8.10456574839e+12
Ses01F_impro01_M008,9216678.0,4459686.97727,1.24649675246e+13
Ses01F_impro01_M009,9733573.0,3337058.97297,8.44473611173e+12
Ses01F_impro01_M010,9625802.0,2329927.59091,7.42553202517e+12
Ses01F_impro01_M011,10849156.0,3027632.625,7.44646916251e+12
Ses01F_impro01_M012,9509463.0,6718908.92857,6.31535193053e+12
Ses01F_impro01_M013,8601334.0,2018684.56667,7.76326287042e+12
Ses01F_impro02_F000,10550658.0,7591258.30108,3.48937433755e+12
Ses01F_impro02_F001,9415137.0,7341228.48276,5.11692952357e+12
Ses01F_impro02_F002,9613175.0,6413322.14035,6.31392506008e+12
Ses01F_impro02_F003,9602920.0,6310651.69643,6.38657715524e+12
Ses01F_impro02_F004,9541713.0,6586412.45614,5.85710025626e+12
Ses01F_impro02_F005,8982094.0,6570356.2,5.40247092665e+12
Ses01F_impro02_F006,10031903.0,5565115.57143,8.16854295907e+12
Ses01F_impro02_F007,9714311.0,3905626.83607,9.61649478088e+12
Ses01F_impro02_F008,9616927.0,6632199.42105,5.54086875789e+12
Ses01F_impro02_F009,9733602.0,6595077.53488,5.89000252916e+12
Ses01F_impro02_F010,9475279.0,6496597.95238,4.0488833706e+12
Ses01F_impro02_F011,9315936.0,6279219.63636,5.71141265404e+12
Ses01F_impro02_F012,8774410.0,6065104.53333,6.01792875692e+12
Ses01F_impro02_F013,9620288.0,6338790.90164,7.24702702053e+12
Ses01F_impro02_F014,10370761.0,6371749.91781,6.73072278622e+12
Ses01F_impro02_F015,10697988.0,6694339.28571,5.58853869974e+12
Ses01F_impro02_F016,10526749.0,7025190.2381,5.24715204809e+12
Ses01F_impro02_F017,9335102.0,4373546.28788,8.2460603439e+12
Ses01F_impro02_F018,10778091.0,6484733.2,6.0871006198e+12
Ses01F_impro02_F019,9500206.0,6530077.33333,4.76411943398e+12
Ses01F_impro02_F020,10350575.0,6742479.75556,5.02376795436e+12
Ses01F_impro02_M000,9275220.0,7065901.33333,3.32383562062e+12
Ses01F_impro02_M001,10633287.0,6087422.49123,8.00195740241e+12
Ses01F_impro02_M002,10613887.0,6672141.82258,5.37972263067e+12
Ses01F_impro02_M003,9379546.0,5321185.74603,7.308621e+12
Ses01F_impro02_M004,10256319.0,6497294.9697,7.00235921084e+12
Ses01F_impro02_M005,9940524.0,4908292.12245,6.86518348149e+12
Ses01F_impro02_M006,10557766.0,6849581.91304,6.78476411736e+12
Ses01F_impro02_M007,10521998.0,7348097.97368,3.06178000007e+12
Ses01F_impro02_M008,9347800.0,7229411.11538,2.69524321716e+12
Ses01F_impro02_M009,9640238.0,7320058.36111,2.45078385621e+12
Ses01F_impro02_M010,9593669.0,7276995.11905,3.18609448191e+12
Ses01F_impro02_M011,11093126.0,8007625.3125,1.80874779169e+12
Ses01F_impro02_M012,9634216.0,5789441.45652,5.255545911e+12
Ses01F_impro02_M013,10143534.0,6663193.65957,6.26719720701e+12
Ses01F_impro02_M014,9662614.0,6201799.86957,4.69516131184e+12
Ses01F_impro02_M015,8435175.0,5621408.33333,5.26148513204e+12
Ses01F_impro02_M016,9440044.0,6250853.40909,3.82499394487e+12
Ses01F_impro03_F000,9684976.0,3372687.82143,9.69911898727e+12
Ses01F_impro03_F001,9812402.0,4359242.58824,9.74033234158e+12
Ses01F_impro03_F002,7276834.0,1763977.48,4.16128661534e+12
Ses01F_impro03_F003,7736857.0,1603485.8913,5.22762439328e+12
Ses01F_impro03_F004,4356822.0,622258.027027,1.25935950252e+12
Ses01F_impro03_F005,4545004.0,1219479.76,1.55254564194e+12
Ses01F_impro03_F006,9138186.0,2234278.7619,6.70792799648e+12
Ses01F_impro03_F007,10092505.0,3303059.43182,7.39121811497e+12
Ses01F_impro03_F008,7461798.0,2577651.38462,3.82670227209e+12
Ses01F_impro03_F009,8609040.0,2326021.1875,7.19969013596e+12
Ses01F_impro03_F010,9171095.0,2415021.53125,7.53717396885e+12
Ses01F_impro03_F011,8918613.0,3252142.0,6.55085634481e+12
Ses01F_impro03_F012,9183236.0,3771065.27273,1.21300111372e+13
Ses01F_impro03_F013,8232195.0,2453211.90196,5.5847412845e+12
Ses01F_impro03_F014,8776674.0,2537157.38596,8.42711601001e+12
Ses01F_impro03_F015,8786603.0,2112890.0,5.37191480562e+12
Ses01F_impro03_F016,9600983.0,3752049.3,1.00344988507e+13
Ses01F_impro03_F017,9888151.0,4638028.7931,8.64742881467e+12
