session,max(f0(f0)),mean(f0(f0)),var(f0(f0))
Ses01F_impro01_F000,344.53125,47.4971064815,4888.113621
Ses01F_impro01_F001,1033.59375,67.1034702035,18098.7717746
Ses01F_impro01_F002,516.796875,55.9532848465,8519.30892497
Ses01F_impro01_F003,344.53125,72.7753175134,8271.93816132
Ses01F_impro01_F004,3703.7109375,115.652508803,41377.7840797
Ses01F_impro01_F005,2583.984375,161.306380467,28965.3714194
Ses01F_impro01_F006,947.4609375,179.567541631,26272.0880847
Ses01F_impro01_F007,1291.9921875,137.984519882,21377.7211248
Ses01F_impro01_F008,775.1953125,201.581913592,25173.6079894
Ses01F_impro01_F009,861.328125,107.834243774,16004.1365515
Ses01F_impro01_F010,2411.71875,278.985126202,71176.3532486
Ses01F_impro01_F011,2497.8515625,214.207948868,38850.9383549
Ses01F_impro01_F012,689.0625,181.808035714,40485.5720364
Ses01F_impro01_F013,1378.125,171.44138756,35496.2650784
Ses01F_impro01_F014,1205.859375,145.867890995,23141.9654302
Ses01F_impro01_F015,1378.125,292.650082237,34446.0365317
Ses01F_impro01_M000,861.328125,76.6153746547,15034.0584465
Ses01F_impro01_M001,602.9296875,39.2854155514,4223.35138034
Ses01F_impro01_M002,775.1953125,93.310546875,12024.7378349
Ses01F_impro01_M003,947.4609375,131.545543168,13375.1740247
Ses01F_impro01_M004,516.796875,159.541459517,13326.9345021
Ses01F_impro01_M005,2583.984375,127.035290948,28499.4599804
Ses01F_impro01_M006,3962.109375,181.982557886,105226.547984
Ses01F_impro01_M007,3531.4453125,164.63640284,42235.9713868
Ses01F_impro01_M008,3875.9765625,140.376162659,110333.30482
Ses01F_impro01_M009,2411.71875,176.498647837,57652.6322308
Ses01F_impro01_M010,3703.7109375,224.660494698,181641.605188
Ses01F_impro01_M011,2842.3828125,160.26038786,84811.6852332
Ses01F_impro01_M012,2153.3203125,56.7693536932,26916.3648747
Ses01F_impro01_M013,947.4609375,213.78781748,30522.8309403
Ses01F_impro02_F000,1378.125,43.1402765866,5939.5375164
Ses01F_impro02_F001,258.3984375,28.9462730533,2222.90035218
Ses01F_impro02_F002,344.53125,41.0787259615,3946.72251717
Ses01F_impro02_F003,430.6640625,47.8244511331,4858.46740445
Ses01F_impro02_F004,430.6640625,48.5019720874,4706.28119041
Ses01F_impro02_F005,516.796875,46.9815340909,5095.31374975
Ses01F_impro02_F006,344.53125,60.7514704135,4616.69108255
Ses01F_impro02_F007,2325.5859375,141.583599822,33125.7941918
Ses01F_impro02_F008,4134.375,120.5859375,237287.31013
Ses01F_impro02_F009,516.796875,42.6683803142,2896.76295883
Ses01F_impro02_F010,344.53125,37.4702065678,2717.57328041
Ses01F_impro02_F011,258.3984375,43.4805063101,2924.57195341
Ses01F_impro02_F012,172.265625,36.6861979167,2324.30034214
Ses01F_impro02_F013,516.796875,47.7389705882,5052.57135411
Ses01F_impro02_F014,3875.9765625,78.8618607955,46788.7321188
Ses01F_impro02_F015,516.796875,61.7156982422,6640.50637744
Ses01F_impro02_F016,344.53125,39.1225961538,3089.22626563
Ses01F_impro02_F017,3703.7109375,128.940094765,56759.5790605
Ses01F_impro02_F018,516.796875,47.4747785433,5807.58533694
Ses01F_impro02_F019,258.3984375,42.6154491165,3680.09567757
Ses01F_impro02_F020,2670.1171875,38.9575971731,15889.1040762
Ses01F_impro02_M000,3273.046875,40.1041666667,30500.8019341
Ses01F_impro02_M001,2239.453125,54.0114597721,16900.5494048
Ses01F_impro02_M002,2928.515625,57.9378610398,32794.6777283
Ses01F_impro02_M003,3186.9140625,72.4298650568,19708.2665932
Ses01F_impro02_M004,430.6640625,62.5662076271,8156.83734722
Ses01F_impro02_M005,602.9296875,93.6589805825,10627.4775648
Ses01F_impro02_M006,2239.453125,56.2985471807,13819.5807941
Ses01F_impro02_M007,3359.1796875,106.674947699,209261.739024
