session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Ses01F_impro01_F000,23.6734520227,0.0183624775216,0.281670350619,19.8040282515,0.0122664113407,0.204751017534,2.92826392099,3.97341696033e-06,0.00111460831456
Ses01F_impro01_F001,,,,,,,,,
Ses01F_impro01_F002,23.9331371426,0.0134725958774,0.290713277702,18.6476744493,0.011116152369,0.18387929864,5.4867710878,2.50431311387e-06,0.00207090406631
Ses01F_impro01_F003,26.0082955143,0.0176583872585,0.338372137507,20.4650578702,0.0126000042994,0.220939771809,7.68371763362,2.30462963823e-06,0.00321902259609
Ses01F_impro01_F004,26.8826671187,0.0223828135619,0.419927805628,21.7741168933,0.0125244613971,0.249950597215,11.5471827581,4.1442759233e-06,0.00547326038092
Ses01F_impro01_F005,29.0983992407,0.0157548256516,0.421625820863,23.2443417875,0.0126485964069,0.28170419999,14.2859592041,2.77295751485e-06,0.00684206604014
Ses01F_impro01_F006,31.1207253086,0.0225483225784,0.480117088969,25.5063517922,0.0137617996854,0.335356368569,10.3210027868,2.68360569648e-06,0.00597420690838
Ses01F_impro01_F007,29.6127611709,0.0157678809759,0.437774579502,23.8008834241,0.0126919250358,0.292638956469,11.2747160956,3.91664397967e-06,0.00572559204817
Ses01F_impro01_F008,30.2463580195,0.0155885228774,0.46013332975,25.0441133976,0.0124736128982,0.325272873393,15.0213888625,8.463894528e-06,0.00772031718205
Ses01F_impro01_F009,27.6899015221,0.0225232820449,0.385475947473,21.8977246919,0.0124040197456,0.254949632062,13.7288450899,4.5091569586e-06,0.00663023747087
Ses01F_impro01_F010,31.0607202283,0.0166841461253,0.483316817894,25.414310538,0.0128387922192,0.332061941295,9.02008205176,2.30662073997e-06,0.00525604985676
Ses01F_impro01_F011,,,,,,,,,
Ses01F_impro01_F012,30.2771211774,0.0165861070869,0.460145812959,22.9822398068,0.012466906546,0.278095747076,19.9176344077,3.64959410373e-06,0.009580866299
Ses01F_impro01_F013,27.1286223647,0.0166683482715,0.372631380548,22.2288381787,0.012474094835,0.261457367912,12.8027179994,2.58060775648e-06,0.00579946419583
Ses01F_impro01_F014,28.4804535267,0.0217482740345,0.466929011662,22.9019117425,0.0120444366999,0.275267118256,12.1453945878,5.06585013392e-06,0.00629073481868
Ses01F_impro01_F015,32.2596822682,0.0163240638355,0.518840859981,27.9604746194,0.0133321904779,0.396083045579,3.32421941756,2.02407966478e-06,0.00252849042642
Ses01F_impro01_M000,24.2039008306,0.0166814472524,0.294720159151,21.4766951866,0.0124532226375,0.238926475739,3.5671188911,1.96928519362e-06,0.00148577203937
Ses01F_impro01_M001,,,,,,,,,
Ses01F_impro01_M002,26.5028217026,0.0212011550947,0.350462760054,21.826347959,0.0123702602654,0.249905815075,6.48987594368,4.48713388415e-06,0.00296117431891
Ses01F_impro01_M003,27.7978173554,0.0199826909437,0.388064960653,23.8968950827,0.0133724498876,0.296128029778,8.82019512053,2.97759656398e-06,0.00419548449722
Ses01F_impro01_M004,29.2497245536,0.0245919358122,0.423182549491,24.7957250768,0.0135499104605,0.320012308132,12.3489981356,4.97932886656e-06,0.00578787587205
Ses01F_impro01_M005,29.8754460594,0.0165040617638,0.441267355814,24.7577501186,0.0135240436354,0.314168349514,8.23850215796,3.41966849043e-06,0.00448582965608
Ses01F_impro01_M006,28.9022494487,0.0168825316207,0.420462255321,25.5486896163,0.0140334225042,0.33282787614,5.65632310723,2.98222518373e-06,0.0031057392794
Ses01F_impro01_M007,29.2862459206,0.0162538621173,0.429450004286,24.6842412494,0.0129689025977,0.315371445661,9.45118329241,5.236746471e-06,0.00487132056583
Ses01F_impro01_M008,,,,,,,,,
Ses01F_impro01_M009,29.8298996944,0.023513161821,0.444067459011,24.0610497606,0.0125579180103,0.299051337834,9.22851293849,6.10700702422e-06,0.00480273018209
Ses01F_impro01_M010,29.1064750199,0.020084154239,0.424682967781,24.7110933345,0.0131998897567,0.317393214132,10.7789507628,3.12025697406e-06,0.00525600806962
Ses01F_impro01_M011,31.7158571608,0.019652553744,0.499914024991,24.2465873698,0.0130257464096,0.30489182801,12.3469682232,3.6392033893e-06,0.00660595034878
Ses01F_impro01_M012,25.1162905962,0.0154366489032,0.314434906934,20.1462368148,0.0126489584858,0.214342190761,3.63925476644,1.93690674604e-06,0.00165443784506
Ses01F_impro01_M013,34.3124094241,0.01965171738,0.584695437395,27.1377295941,0.0137457145072,0.378619350573,14.8484285356,5.70442898663e-06,0.0096793961933
Ses01F_impro02_F000,,,,,,,,,
Ses01F_impro02_F001,20.5286266156,0.0139038900736,0.213588980354,17.6616984282,0.0120628969382,0.163252740854,1.25428996719,1.91228637467e-06,0.000341685702036
Ses01F_impro02_F002,,,,,,,,,
Ses01F_impro02_F003,25.0360489518,0.0171534374173,0.311404347593,18.6282249211,0.0119408074677,0.182700371945,5.52558465334,2.72927342709e-06,0.00193836604321
Ses01F_impro02_F004,23.1888962749,0.0182464755609,0.27277586889,18.2868286487,0.0119474900902,0.176036214636,3.20873925506,2.13921417735e-06,0.00112885518841
Ses01F_impro02_F005,24.1079719223,0.0147444531259,0.289987973716,18.5197554671,0.0111396193933,0.179572341792,5.29055336069,6.7853887273e-06,0.0019605331603
Ses01F_impro02_F006,24.1864980296,0.0148009009655,0.291502475623,19.3022808806,0.0116932496621,0.195553084116,6.44429625351,3.0688179821e-06,0.00241121983859
Ses01F_impro02_F007,28.1466242048,0.0160003665728,0.398013945597,22.169067336,0.0122991141765,0.258798774663,12.4814580287,4.15721046646e-06,0.00575710778821
Ses01F_impro02_F008,,,,,,,,,
Ses01F_impro02_F009,,,,,,,,,
Ses01F_impro02_F010,23.9138166612,0.0141124479535,0.285582314261,18.3804415276,0.0116033783046,0.177827050047,4.6637831858,2.03977037309e-06,0.00158679196493
Ses01F_impro02_F011,23.3520667375,0.0218983361913,0.272678948475,18.1875073502,0.0120575104574,0.174586792492,3.26406147805,3.5500539387e-06,0.00115595914091
Ses01F_impro02_F012,,,,,,,,,
Ses01F_impro02_F013,26.5451176813,0.0148614716366,0.348418521265,18.2669194135,0.0115351866946,0.176924695301,7.00195491926,2.81177483761e-06,0.0027268649415
Ses01F_impro02_F014,,,,,,,,,
Ses01F_impro02_F015,24.3362281798,0.0215787256093,0.298702260203,18.8567600899,0.0118045877846,0.187094600858,3.66246583508,3.80117592257e-06,0.001488823893
Ses01F_impro02_F016,22.6849120959,0.0200602195725,0.258511099448,18.842666072,0.0116147512508,0.188180085971,3.82392249918,5.00585028886e-06,0.00135630108242
Ses01F_impro02_F017,26.9628096786,0.0152029080722,0.3660885341,21.8524678942,0.0125577536376,0.24713729186,7.97136303626,1.90483702662e-06,0.003547275102
Ses01F_impro02_F018,23.4772399647,0.015643932156,0.276786777405,18.8483878889,0.0118616756483,0.186519691824,4.97823037942,3.94912587231e-06,0.00180656058346
Ses01F_impro02_F019,22.3785688765,0.014374246455,0.250277268667,18.5407622469,0.0119231635299,0.179321460149,4.11001007614,2.4256170796e-06,0.00136730717534
Ses01F_impro02_F020,22.9169771148,0.0144694664932,0.26373656681,18.9305111419,0.0124027755433,0.186847360578,3.55520096241,2.42088785384e-06,0.00124107266406
Ses01F_impro02_M000,23.2102312502,0.0223645684771,0.277066751135,19.884407316,0.0123839426163,0.206665232004,2.38859622118,6.7577050187e-06,0.00105200210187
Ses01F_impro02_M001,24.4410508589,0.0172141067605,0.297794278423,19.6191213014,0.0124413415633,0.201702827142,4.83390860476,2.56782859708e-06,0.00182847392253
Ses01F_impro02_M002,,,,,,,,,
Ses01F_impro02_M003,24.5257227519,0.0179062804553,0.301781420009,20.2847769209,0.0119173233364,0.213883002858,3.2813947738,3.0884888612e-06,0.00120511331781
Ses01F_impro02_M004,24.1725219818,0.0142981620809,0.291373507896,19.2553607324,0.0120661044103,0.194929821097,3.39876545484,1.52771593835e-06,0.00126494330751
Ses01F_impro02_M005,,,,,,,,,
Ses01F_impro02_M006,,,,,,,,,
Ses01F_impro02_M007,24.1260748967,0.0144888326833,0.290974328177,18.864220788,0.0117602320034,0.185721956833,3.4410689633,1.87417887028e-06,0.0012767082108
Ses01F_impro02_M008,20.6817924597,0.021012127314,0.250891841433,17.927989015,0.0116736918804,0.170345194346,1.07285985714,5.18369394388e-06,0.000460318526118
Ses01F_impro02_M009,,,,,,,,,
Ses01F_impro02_M010,21.2645416926,0.0133959592093,0.226190992086,18.0623319,0.0113756373264,0.17032535192,1.32473620667,2.51983278182e-06,0.000369531600802
Ses01F_impro02_M011,19.7718908008,0.0179937666979,0.239321446243,17.8157410093,0.0116362972516,0.167113122459,0.361751910409,3.15114315861e-06,0.000193794717676
Ses01F_impro02_M012,,,,,,,,,
Ses01F_impro02_M013,23.2647468762,0.014129142766,0.272673867263,19.0953566909,0.0121200076157,0.190390151025,3.97481283158,2.05829971087e-06,0.00145807118973
Ses01F_impro02_M014,22.059858312,0.0186155760343,0.272321357835,19.3780989049,0.0120905831261,0.19677487447,1.95657798778,2.62072623405e-06,0.000758145522786
Ses01F_impro02_M015,23.4400638539,0.0160232683982,0.275620940569,20.2855716384,0.0132593170365,0.215686297125,2.20830352328,1.41318064923e-06,0.00083838472565
Ses01F_impro02_M016,23.5571914225,0.0163681823688,0.276439861709,18.9631217984,0.0131648013773,0.18559338792,2.25370941778,4.20569157529e-06,0.000766262579916
Ses01F_impro03_F000,26.9280509225,0.0165383730946,0.364909571393,22.8266332774,0.01229540109,0.270786779805,6.48526180461,3.15048608815e-06,0.0031612257629
Ses01F_impro03_F001,26.7127152132,0.0140314781361,0.355768766346,22.8656667404,0.0118951464255,0.270819267632,4.84247355209,2.52331664843e-06,0.00245611041194
Ses01F_impro03_F002,30.0881134792,0.0216156497066,0.455504720797,25.0207837089,0.0131093448717,0.32615478575,11.3609836157,5.1286684494e-06,0.00610174983896
Ses01F_impro03_F003,34.7189195989,0.0186455553645,0.683320932187,27.9695689019,0.0130857165303,0.40366368392,12.1122897861,6.2015274353e-06,0.0101684066641
Ses01F_impro03_F004,30.8424106022,0.0160307883035,0.477852752225,27.0203366139,0.0134441185163,0.371534839847,5.19868715892,2.23229488096e-06,0.00338061863896
Ses01F_impro03_F005,29.2688930895,0.0204960231376,0.434477369713,25.6539426941,0.0137327504948,0.338153188827,3.69731319874,2.90583350462e-06,0.00197392032711
Ses01F_impro03_F006,27.5882588073,0.0226040982983,0.449234561519,23.1063164912,0.0126193018821,0.276235180294,4.1174911244,5.19891015411e-06,0.00227354856158
Ses01F_impro03_F007,29.2938918977,0.0149904434196,0.42913410378,23.2022250291,0.0124168549977,0.278427413891,8.04428033291,2.22175522565e-06,0.00403234038462
Ses01F_impro03_F008,29.1202944731,0.0156862507492,0.42305672528,23.9934733837,0.0126377978074,0.296069632188,5.50259676102,3.84735284642e-06,0.00305656251624
Ses01F_impro03_F009,27.6542218934,0.0155576764173,0.383037099946,24.0745627436,0.01290123081,0.300437668025,6.94754390198,2.57263518647e-06,0.00337388115156
Ses01F_impro03_F010,27.538522628,0.0223740585679,0.377971895744,23.1287449043,0.0130668263933,0.281140603396,9.04324984464,4.21082116123e-06,0.0041067557471
Ses01F_impro03_F011,,,,,,,,,
Ses01F_impro03_F012,28.5499484472,0.0155108366072,0.407424147042,21.9294999955,0.0123738163783,0.25382781788,13.3011724866,3.33723901923e-06,0.00648836504869
Ses01F_impro03_F013,29.1696643295,0.0154825089647,0.424786244028,25.0761190536,0.0125573023183,0.324003417964,6.97441800799,2.44985645982e-06,0.00368763740654
Ses01F_impro03_F014,30.3375708345,0.0156388885063,0.460640842874,23.6835456775,0.0126901476477,0.289718993841,8.66407486926,2.47173664843e-06,0.00459923499746
Ses01F_impro03_F015,30.6702293519,0.0186937561129,0.468589501289,25.0280210302,0.0130672469194,0.3218765435,7.3246259453,2.99013854837e-06,0.0044274449187
Ses01F_impro03_F016,26.1948377864,0.024978111496,0.345392337075,22.4929543526,0.012523388103,0.263916263144,5.37090723186,7.29979432091e-06,0.00237362229887
Ses01F_impro03_F017,26.2369332744,0.0136588301042,0.347259473009,21.1678255249,0.0117084178762,0.232910197445,6.59418840817,2.82556740746e-06,0.00281272646344
Ses01F_impro03_F018,28.3971087203,0.0146487384375,0.400367923883,21.3103952222,0.0122535230235,0.236407440759,8.68839398279,2.59449232443e-06,0.00374626000613
Ses01F_impro03_F019,22.8234335358,0.0160046214505,0.292492329512,18.9346892125,0.0126102667513,0.191619495454,3.49575031785,1.87483818728e-06,0.0017481242156
Ses01F_impro03_F020,25.75528039,0.0157425091826,0.338333550829,21.5668247025,0.0122104930014,0.245066160401,7.9267364094,4.48542483328e-06,0.00340048474227
Ses01F_impro03_F021,,,,,,,,,
Ses01F_impro03_F022,23.1370517482,0.0220384187692,0.385323777689,20.1037937389,0.0122983081605,0.212853173505,2.6445863515,4.87100611842e-06,0.00188410749944
Ses01F_impro03_F023,20.8777578366,0.0217889347071,0.268293482561,19.4636677247,0.0122222323466,0.202555140927,1.04773653577,8.50676740412e-06,0.000632002274304
Ses01F_impro03_F024,26.4294774991,0.0148040614503,0.349058011818,22.0938062797,0.0122088871578,0.252227321815,6.73251815172,2.60129936518e-06,0.00307314711261
Ses01F_impro03_F025,,,,,,,,,
Ses01F_impro03_F026,,,,,,,,,
Ses01F_impro03_M000,27.1655195197,0.0154377495977,0.371283714019,21.9091446604,0.0126775862997,0.248879444224,6.85728947067,2.22796922936e-06,0.00326782778142
Ses01F_impro03_M001,25.8812728618,0.0151210675641,0.340469277373,21.8672953767,0.0124953502926,0.251640146676,5.84352457498,2.68252495234e-06,0.00257749764809
Ses01F_impro03_M002,29.13196686,0.0163840885667,0.426757855911,24.0049069171,0.0133573090936,0.299458686529,11.871993665,2.2751288866e-06,0.00606337137223
