session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Ses01F_impro01_F000,11412935.0,8787191.73333,9.85575116795e+12
Ses01F_impro01_F001,12176132.0,8217822.85714,7.93957336577e+12
Ses01F_impro01_F002,13138622.0,8638143.5625,8.18916438636e+12
Ses01F_impro01_F003,12007673.0,7823802.0,1.38463911585e+13
Ses01F_impro01_F004,11545825.0,4480808.62264,1.70238792266e+13
Ses01F_impro01_F005,12294418.0,4044477.6129,1.52802899578e+13
Ses01F_impro01_F006,10737679.0,1451340.40278,8.52532545277e+12
Ses01F_impro01_F007,12918479.0,4469733.47126,1.84924534698e+13
Ses01F_impro01_F008,11043814.0,2674345.26829,1.33098131628e+13
Ses01F_impro01_F009,13090281.0,6681598.60938,1.82755878749e+13
Ses01F_impro01_F010,10766225.0,2387818.91111,7.53415889779e+12
Ses01F_impro01_F011,11464143.0,2988343.28105,1.29422423887e+13
Ses01F_impro01_F012,11886847.0,4732952.90476,1.77183897406e+13
Ses01F_impro01_F013,11878326.0,5601651.44231,1.63961709028e+13
Ses01F_impro01_F014,12414917.0,4665025.24051,1.6371029474e+13
Ses01F_impro01_F015,2919935.0,785521.690476,1.38962784422e+12
Ses01F_impro01_M000,12231834.0,7544865.84444,1.22272241832e+13
Ses01F_impro01_M001,12680906.0,9559896.68966,7.26704086029e+12
Ses01F_impro01_M002,11603595.0,5511336.0,1.45172403747e+13
Ses01F_impro01_M003,12310866.0,2999222.56338,1.25122704817e+13
Ses01F_impro01_M004,11183646.0,2942887.61364,1.33540652073e+13
Ses01F_impro01_M005,11259938.0,3889779.38095,1.60333932768e+13
Ses01F_impro01_M006,10548164.0,2048847.07865,6.45685314401e+12
Ses01F_impro01_M007,12147582.0,3176902.80412,1.26445450779e+13
Ses01F_impro01_M008,11638530.0,5666742.57353,2.05745514926e+13
Ses01F_impro01_M009,11918926.0,4239624.2906,1.33515817684e+13
Ses01F_impro01_M010,11884946.0,2934402.18841,1.17160376277e+13
Ses01F_impro01_M011,13413776.0,3830312.23894,1.20771896807e+13
Ses01F_impro01_M012,12477191.0,8521385.29545,9.61402233751e+12
Ses01F_impro01_M013,11077006.0,2588866.17021,1.20176973324e+13
Ses01F_impro02_F000,13632326.0,9712389.87586,5.3935375221e+12
