session,max(f0(f0)),mean(f0(f0)),var(f0(f0))
Ses01F_impro01_F000,166.882324219,51.9107223905,3195.33384339
Ses01F_impro01_F001,269.165039062,54.2172946895,5803.10171129
Ses01F_impro01_F002,468.347167969,54.2063894447,6053.72691269
Ses01F_impro01_F003,651.379394531,97.6695778128,18265.5184209
Ses01F_impro01_F004,328.381347656,99.1048450799,4550.40725675
Ses01F_impro01_F005,419.897460938,163.153010608,13678.7577967
Ses01F_impro01_F006,694.445800781,176.461867344,15026.0111196
Ses01F_impro01_F007,823.645019531,152.861925372,19238.3326067
Ses01F_impro01_F008,457.580566406,187.626446254,15342.1198221
Ses01F_impro01_F009,489.880371094,113.568844515,12628.2802328
Ses01F_impro01_F010,462.963867188,247.32816256,17281.8406896
Ses01F_impro01_F011,672.912597656,179.306910336,13110.1374226
Ses01F_impro01_F012,699.829101562,177.14436849,36088.25672
Ses01F_impro01_F013,834.411621094,150.149881826,24880.1751052
Ses01F_impro01_F014,419.897460938,124.923679311,7240.67482372
Ses01F_impro01_F015,651.379394531,271.551724138,15996.2004531
Ses01F_impro01_M000,419.897460938,57.3472347423,7159.62104044
Ses01F_impro01_M001,177.648925781,30.6525056559,954.151562801
Ses01F_impro01_M002,651.379394531,118.775252432,12490.8166761
Ses01F_impro01_M003,452.197265625,128.274200869,6584.3797547
Ses01F_impro01_M004,522.180175781,175.564281128,12323.4816538
Ses01F_impro01_M005,479.113769531,114.250176826,6662.08870726
Ses01F_impro01_M006,559.86328125,131.74990478,6211.01402703
Ses01F_impro01_M007,672.912597656,148.755935735,14095.6046413
Ses01F_impro01_M008,484.497070312,94.7737349633,8414.383751
Ses01F_impro01_M009,759.045410156,156.858871922,19266.744196
Ses01F_impro01_M010,694.445800781,187.284337167,30868.3552836
Ses01F_impro01_M011,441.430664062,115.566363302,6983.7692766
Ses01F_impro01_M012,145.349121094,34.8407433664,1177.75637271
Ses01F_impro01_M013,721.362304688,210.022303195,20615.3849994
Ses01F_impro02_F000,166.882324219,34.2386269488,1732.69218676
Ses01F_impro02_F001,118.432617188,32.8077028509,1522.2156668
Ses01F_impro02_F002,166.882324219,52.7197913189,2726.58545901
Ses01F_impro02_F003,215.33203125,54.2945266732,2541.70988546
Ses01F_impro02_F004,322.998046875,58.8690004969,4474.28824216
Ses01F_impro02_F005,166.882324219,44.8608398438,2345.64026961
Ses01F_impro02_F006,317.614746094,71.8174778174,3556.57105275
Ses01F_impro02_F007,586.779785156,111.847045898,8792.46325336
Ses01F_impro02_F008,139.965820312,49.9409187949,2169.42613906
Ses01F_impro02_F009,118.432617188,54.1877508096,2183.97916207
Ses01F_impro02_F010,118.432617188,43.8222434304,1471.66951389
Ses01F_impro02_F011,150.732421875,54.8261214654,2275.6377323
Ses01F_impro02_F012,134.582519531,57.0354461201,2618.01915441
Ses01F_impro02_F013,279.931640625,46.1081677922,3189.53149114
Ses01F_impro02_F014,199.182128906,66.5980922737,4838.43039185
Ses01F_impro02_F015,263.781738281,63.8195901944,4580.44359282
