session,max(silence_ratio(silence_ratio)),mean(silence_ratio(silence_ratio)),var(silence_ratio(silence_ratio))
Ses01F_impro01_F000,0.7843684577808793,0.5702374121343626,0.05129842045273334
Ses01F_impro01_F001,0.99853515625,0.8342755505906985,0.07875261398810599
Ses01F_impro01_F002,1.0,0.8309206556282485,0.08016479441499998
Ses01F_impro01_F003,0.96728515625,0.6716146703075662,0.11087055649113972
Ses01F_impro01_F004,1.0,0.4584067691242822,0.15741318720212835
Ses01F_impro01_F005,1.0,0.6275044102822581,0.09608802090822476
Ses01F_impro01_F006,1.0,0.4645775898330332,0.06580383194972857
Ses01F_impro01_F007,1.0,0.651299838362069,0.08710731951622469
Ses01F_impro01_F008,1.0,0.5125524009146342,0.0905307007289798
Ses01F_impro01_F009,1.0,0.7220589132869945,0.10653063944105065
Ses01F_impro01_F010,1.0,0.5399956597222222,0.09670769185195734
Ses01F_impro01_F011,1.0,0.5308702256944444,0.09435551220208904
Ses01F_impro01_F012,1.0,0.7102399553571429,0.08684057443320345
Ses01F_impro01_F013,1.0,0.6324744591346154,0.1365458831279236
Ses01F_impro01_F014,1.0,0.5264158412954398,0.12733060390835751
Ses01F_impro01_F015,0.85595703125,0.32460560665537763,0.0321055125435294
Ses01F_impro01_M000,0.99267578125,0.6722465203584995,0.08907684001219965
Ses01F_impro01_M001,0.7900390625,0.5846783740752893,0.03779121850618593
Ses01F_impro01_M002,1.0,0.5771484375,0.11312444474962023
Ses01F_impro01_M003,1.0,0.5011141065140845,0.08457750121035099
Ses01F_impro01_M004,1.0,0.4573974609375,0.11885520680384203
Ses01F_impro01_M005,1.0,0.5210658482142857,0.1217575251650648
Ses01F_impro01_M006,1.0,0.41475926088483145,0.08413166886040575
Ses01F_impro01_M007,1.0,0.4801716787627187,0.09380777408813182
Ses01F_impro01_M008,1.0,0.6915570427389706,0.12237610015695898
Ses01F_impro01_M009,1.0,0.6651183560363247,0.0888700891040939
Ses01F_impro01_M010,1.0,0.5013676934700848,0.07929142712436381
Ses01F_impro01_M011,1.0,0.6929665440377932,0.07047115129852413
Ses01F_impro01_M012,0.86181640625,0.5698143057054706,0.04701967601915833
Ses01F_impro01_M013,1.0,0.4813154504654255,0.1260475867633207
Ses01F_impro02_F000,0.77197265625,0.5857946982670917,0.031993362035688845
Ses01F_impro02_F001,0.365234375,0.2591682657163743,0.009270597587494914
Ses01F_impro02_F002,0.95263671875,0.6438508880740774,0.07566260911820605
Ses01F_impro02_F003,0.9853515625,0.6976874537721893,0.08738056892344254
Ses01F_impro02_F004,0.943359375,0.6497423762635601,0.07668747974475615
Ses01F_impro02_F005,0.865234375,0.6402994791666666,0.06644119768061191
Ses01F_impro02_F006,0.99951171875,0.692773563752424,0.10551100906691083
Ses01F_impro02_F007,1.0,0.5920206705729166,0.11886062680019271
Ses01F_impro02_F008,0.7470703125,0.47240342514746664,0.04646411722538154
Ses01F_impro02_F009,0.73193359375,0.44989940113700366,0.04509088209210421
Ses01F_impro02_F010,0.63134765625,0.4113517992424242,0.03142215297022908
Ses01F_impro02_F011,0.88525390625,0.62541658759278,0.08604617621496172
Ses01F_impro02_F012,0.8486328125,0.5702673410404625,0.08255418387774495
Ses01F_impro02_F013,1.0,0.8400544819078948,0.09063333537770109
Ses01F_impro02_F014,0.859375,0.5592564407399666,0.07163871081571095
Ses01F_impro02_F015,0.939453125,0.6891127347757992,0.07648524468931606
Ses01F_impro02_F016,0.7481956696070569,0.4718563983707958,0.03147937687442954
Ses01F_impro02_F017,1.0,0.6132892210146551,0.10549969170655807
Ses01F_impro02_F018,0.72509765625,0.46246036512695704,0.04512279380703514
Ses01F_impro02_F019,0.6298828125,0.42826866933752683,0.036039138156650774
Ses01F_impro02_F020,0.61572265625,0.36789196652030604,0.023333162402950244
