session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Ses01F_impro01_F000,1518.41785015,1011.46998562,465419.027786
Ses01F_impro01_F001,1987.54562398,1981.00555761,42.7724681056
Ses01F_impro01_F002,2681.19664685,926.405331626,998972.402635
Ses01F_impro01_F005,59433.3536291,22302.1106241,412924534.007
Ses01F_impro01_F012,81778.4356381,27689.5972808,1057548919.24
Ses01F_impro01_F014,21592.6347752,10807.7248498,51013057.3235
Ses01F_impro01_M011,126024.89344,29758.0479948,1280540091.79
Ses01F_impro01_M013,541578.186152,191604.251675,30617287098.0
Ses01F_impro02_F000,1294.73241081,231.752902372,115413.6211
Ses01F_impro02_F001,388.589818191,179.666008256,25846.6867373
Ses01F_impro02_F002,2884.01514615,736.383933753,1006108.54137
Ses01F_impro02_F003,3038.9167635,680.229914323,957621.599627
Ses01F_impro02_F004,2367.40087211,580.763491464,563761.965832
Ses01F_impro02_F005,2758.99101045,1136.49770914,1064660.14865
Ses01F_impro02_F006,5724.44945882,1835.27267915,5002701.10574
Ses01F_impro02_F008,1355.00608155,472.970013506,231738.079838
Ses01F_impro02_F010,527.04397235,194.458102242,39459.4055929
Ses01F_impro02_F012,1691.70136715,627.487008078,509312.880066
Ses01F_impro02_F013,7067.08306878,1447.87938165,6228981.82544
Ses01F_impro02_F014,4565.47527889,1009.02992097,1865923.34242
Ses01F_impro02_F015,2010.40088495,658.710321682,527851.784126
Ses01F_impro02_F016,566.083807761,300.855105683,36891.3352368
Ses01F_impro02_F017,14049.7600113,4855.78568104,16119045.8319
Ses01F_impro02_F018,1127.92328909,448.05785019,242050.16213
Ses01F_impro02_F019,1056.59387835,372.853307752,166636.548743
Ses01F_impro02_F020,1108.09870815,354.940860773,145730.249587
Ses01F_impro02_M001,1909.03051482,687.971984597,482234.612263
Ses01F_impro02_M005,2540.87023289,1012.79965811,603085.143819
Ses01F_impro02_M009,443.047478285,174.261144756,23648.3123391
Ses01F_impro02_M010,328.351562474,136.645669962,14024.9166778
Ses01F_impro02_M011,112.326714271,57.1909857787,1470.92836606
Ses01F_impro02_M012,1485.90815043,662.995396738,232706.918591
Ses01F_impro02_M013,1504.82940708,514.379654723,330950.464843
Ses01F_impro02_M014,911.472876011,401.823721775,102743.561405
Ses01F_impro02_M015,718.069564684,678.889487936,1535.07841399
Ses01F_impro03_F000,12623.1087212,8453.6942898,8501254.90162
Ses01F_impro03_F001,15707.7849254,7920.46704591,35153886.9522
Ses01F_impro03_F002,85884.5683852,44966.9804823,990714281.922
Ses01F_impro03_F004,126962.571163,89409.2675228,1231627203.01
Ses01F_impro03_F005,62314.4002094,29698.1526391,441369741.029
Ses01F_impro03_F006,19541.4846875,8368.60934393,30434579.6517
Ses01F_impro03_F008,43632.1989191,18565.6307209,270833293.202
