session,max(f0(f0)),mean(f0(f0)),var(f0(f0))
Ses01F_impro01_F000,142.6359375,99.684375,3689.67344238
Ses01F_impro01_F001,261.84375,191.559375,4939.89336914
Ses01F_impro01_F002,119.2078125,69.02109375,2288.47803772
Ses01F_impro01_F005,419.6390625,242.291601562,21039.5273755
Ses01F_impro01_F012,693.8859375,277.4165625,79438.1954625
Ses01F_impro01_F014,286.65,176.4,1705.79209131
Ses01F_impro01_M011,191.559375,122.40703125,1847.51572083
Ses01F_impro01_M013,505.771875,241.114453125,21906.924987
Ses01F_impro02_F000,135.05625,48.19609375,2593.10491272
Ses01F_impro02_F001,115.0734375,53.47125,2447.45981895
Ses01F_impro02_F002,142.6359375,74.1055397727,3243.65471119
Ses01F_impro02_F003,119.896875,51.2411931818,2307.4135335
Ses01F_impro02_F004,136.434375,62.7046875,2212.08324929
Ses01F_impro02_F005,163.996875,93.8503125,4032.89779922
Ses01F_impro02_F006,146.08125,96.3826171875,2628.82160122
Ses01F_impro02_F008,117.8296875,59.3578125,2278.04708496
Ses01F_impro02_F010,117.140625,63.221484375,1977.06720932
Ses01F_impro02_F012,126.0984375,86.47734375,2372.57165588
Ses01F_impro02_F013,143.325,67.18359375,2869.37818176
Ses01F_impro02_F014,173.64375,89.184375,4435.28967041
Ses01F_impro02_F015,163.996875,94.89375,3976.67443359
Ses01F_impro02_F016,119.896875,69.078515625,2571.40703293
Ses01F_impro02_F017,281.8265625,147.777403846,2859.18738793
Ses01F_impro02_F018,130.921875,56.15859375,2547.14241028
Ses01F_impro02_F019,141.2578125,72.69609375,3766.92192444
Ses01F_impro02_F020,140.56875,52.675,3192.93139648
Ses01F_impro02_M001,90.2671875,50.8653409091,1163.69341256
Ses01F_impro02_M005,80.6203125,64.925,574.07112793
Ses01F_impro02_M009,70.9734375,41.8359375,591.028286133
Ses01F_impro02_M010,79.93125,35.83125,664.611278687
Ses01F_impro02_M011,25.4953125,21.3609375,18.8340161133
Ses01F_impro02_M012,89.578125,59.3359375,877.807006836
Ses01F_impro02_M013,81.309375,38.5875,935.792094727
Ses01F_impro02_M014,97.1578125,58.1109375,1029.27634277
Ses01F_impro02_M015,91.6453125,53.40234375,1462.52465881
Ses01F_impro03_F000,489.234375,216.7790625,21650.3694176
Ses01F_impro03_F001,132.3,108.871875,980.793259277
Ses01F_impro03_F002,177.0890625,163.0321875,148.633623633
Ses01F_impro03_F004,192.2484375,163.8984375,178.856938477
Ses01F_impro03_F005,271.490625,205.61625,2467.78156406
Ses01F_impro03_F006,171.5765625,124.490625,275.097974854
Ses01F_impro03_F008,280.4484375,170.060625,3479.27268691
Ses01F_impro03_F009,121.9640625,113.925,90.0023291016
Ses01F_impro03_F010,425.840625,215.2171875,10114.2887036
Ses01F_impro03_F012,360.3796875,211.5421875,20813.8827063
Ses01F_impro03_F013,472.0078125,222.77390625,10158.7881553
Ses01F_impro03_F016,148.8375,127.13203125,157.754668579
Ses01F_impro03_F017,496.125,221.326875,22462.0617006
Ses01F_impro03_F018,164.6859375,112.3171875,1622.5109209
Ses01F_impro03_F019,119.2078125,119.2078125,0.0
Ses01F_impro03_F021,216.365625,140.0175,1452.89082217
Ses01F_impro03_F022,121.9640625,119.035546875,18.606504364
Ses01F_impro03_F023,120.5859375,120.5859375,0.0
Ses01F_impro03_F024,272.1796875,174.763476562,1544.65887325
Ses01F_impro03_F025,182.6015625,147.459375,980.001914063
Ses01F_impro03_F026,279.0703125,190.812890625,2953.81141891
Ses01F_impro03_M000,117.8296875,91.473046875,1776.34249557
Ses01F_impro03_M001,95.7796875,67.87265625,879.461504517
Ses01F_impro03_M006,117.8296875,97.846875,386.255599365
Ses01F_impro03_M007,249.440625,140.0175,3110.06266348
Ses01F_impro03_M008,317.6578125,316.62421875,1.06831604004
Ses01F_impro03_M009,135.05625,109.33125,418.252324219
Ses01F_impro03_M011,240.4828125,146.86875,3134.73480469
Ses01F_impro03_M013,267.35625,183.290625,3052.62999316
Ses01F_impro03_M014,539.5359375,195.69375,21112.5024756
Ses01F_impro03_M015,145.3921875,128.165625,285.596488037
Ses01F_impro03_M016,111.628125,100.14375,219.149868164
Ses01F_impro03_M019,149.5265625,84.6015625,920.363793945
Ses01F_impro03_M020,150.215625,95.7796875,1336.63482422
Ses01F_impro03_M021,100.603125,68.90625,664.729980469
Ses01F_impro03_M023,248.7515625,162.421875,2648.29974609
Ses01F_impro03_M024,250.81875,174.160546875,4538.53296799
Ses01F_impro04_F000,296.296875,163.566210938,6380.92558651
Ses01F_impro04_F001,142.6359375,88.8029296875,3030.15232693
Ses01F_impro04_F005,115.0734375,63.566015625,2582.80240402
Ses01F_impro04_F006,389.3203125,212.7234375,14050.4537988
Ses01F_impro04_F009,121.9640625,121.9640625,0.0
Ses01F_impro04_F013,199.828125,123.858984375,2511.93744003
Ses01F_impro04_F014,86.1328125,85.78828125,0.118701782227
Ses01F_impro04_F028,298.3640625,166.40859375,6528.71672424
Ses01F_impro04_F029,270.8015625,158.59921875,10867.926319
Ses01F_impro04_F030,261.84375,163.996875,6621.50195068
Ses01F_impro04_F031,281.8265625,181.826367188,5720.29081753
Ses01F_impro04_F032,101.2921875,94.4015625,44.0621015625
Ses01F_impro04_F033,188.803125,97.5963068182,2270.81022029
Ses01F_impro04_M000,82.6875,47.5453125,788.451152344
Ses01F_impro04_M001,79.2421875,57.421875,952.252075195
Ses01F_impro04_M002,81.309375,56.503125,879.65934082
Ses01F_impro04_M003,79.2421875,60.6375,692.268793945
Ses01F_impro04_M004,138.5015625,104.2015625,1325.74356934
Ses01F_impro04_M005,80.6203125,77.06015625,6.55497619629
