session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Ses01F_impro01_F000,7078.0,7013.66666667,2502.88888889
Ses01F_impro01_F001,7264.0,7187.5,5852.25
Ses01F_impro01_F002,7280.0,7144.66666667,23564.5555556
Ses01F_impro01_F005,7495.0,7245.875,43496.859375
Ses01F_impro01_F012,7304.0,6946.0,36482.0
Ses01F_impro01_F014,7601.0,7225.6,48241.64
Ses01F_impro01_M011,7711.0,7096.14285714,173295.122449
Ses01F_impro01_M013,7313.0,6965.75,69393.0208333
Ses01F_impro02_F000,7696.0,7421.77777778,22247.5061728
Ses01F_impro02_F001,7682.0,7606.8,5741.76
Ses01F_impro02_F002,7839.0,7454.72727273,71413.6528926
Ses01F_impro02_F003,7594.0,7410.90909091,15542.446281
Ses01F_impro02_F004,7453.0,7251.09090909,12020.0826446
Ses01F_impro02_F005,7533.0,7420.6,7927.04
Ses01F_impro02_F006,7491.0,7146.625,40517.484375
Ses01F_impro02_F008,7367.0,7073.71428571,90675.6326531
Ses01F_impro02_F010,7340.0,7167.125,22763.609375
Ses01F_impro02_F012,7505.0,7338.0,6306.0
Ses01F_impro02_F013,7483.0,7364.25,8887.6875
Ses01F_impro02_F014,7673.0,7332.42857143,52309.8163265
Ses01F_impro02_F015,7920.0,7593.71428571,54641.6326531
Ses01F_impro02_F016,7296.0,7103.0,28877.0
Ses01F_impro02_F017,7305.0,6998.69230769,44704.3668639
Ses01F_impro02_F018,7585.0,7333.83333333,58330.8055556
Ses01F_impro02_F019,8052.0,7542.5,86976.9166667
Ses01F_impro02_F020,8102.0,7408.22222222,122846.395062
Ses01F_impro02_M001,7823.0,7576.54545455,34584.9752066
Ses01F_impro02_M005,8472.0,7858.22222222,142798.395062
Ses01F_impro02_M009,7497.0,7262.0,40398.8571429
Ses01F_impro02_M010,7869.0,7450.75,68755.4375
Ses01F_impro02_M011,7805.0,7407.5,60937.25
Ses01F_impro02_M012,7692.0,7321.77777778,48056.3950617
Ses01F_impro02_M013,7578.0,7450.11111111,9409.87654321
Ses01F_impro02_M014,7823.0,7503.55555556,39378.4691358
Ses01F_impro02_M015,7387.0,7292.5,8930.25
Ses01F_impro03_F000,7264.0,7151.8,6928.56
Ses01F_impro03_F001,6771.0,6525.66666667,23793.5555556
Ses01F_impro03_F002,7256.0,7047.2,36734.16
Ses01F_impro03_F004,7324.0,7037.0,32532.8571429
Ses01F_impro03_F005,7187.0,6966.6,40200.64
