session,maxAmplitude
Ses01F_impro01\Ses01F_impro01_F000,3054
Ses01F_impro01\Ses01F_impro01_F001,6246
Ses01F_impro01\Ses01F_impro01_F002,6377
Ses01F_impro01\Ses01F_impro01_F003,5117
Ses01F_impro01\Ses01F_impro01_F004,8442
Ses01F_impro01\Ses01F_impro01_F005,29117
Ses01F_impro01\Ses01F_impro01_F006,32767
Ses01F_impro01\Ses01F_impro01_F007,28538
Ses01F_impro01\Ses01F_impro01_F008,30846
Ses01F_impro01\Ses01F_impro01_F009,17854
Ses01F_impro01\Ses01F_impro01_F010,28615
Ses01F_impro01\Ses01F_impro01_F011,28265
Ses01F_impro01\Ses01F_impro01_F012,32767
Ses01F_impro01\Ses01F_impro01_F013,17546
Ses01F_impro01\Ses01F_impro01_F014,12805
Ses01F_impro01\Ses01F_impro01_F015,32767
Ses01F_impro01\Ses01F_impro01_M000,6549
Ses01F_impro01\Ses01F_impro01_M001,3145
Ses01F_impro01\Ses01F_impro01_M002,10249
Ses01F_impro01\Ses01F_impro01_M003,19930
Ses01F_impro01\Ses01F_impro01_M004,23050
Ses01F_impro01\Ses01F_impro01_M005,23845
Ses01F_impro01\Ses01F_impro01_M006,23412
Ses01F_impro01\Ses01F_impro01_M007,23413
Ses01F_impro01\Ses01F_impro01_M008,25956
Ses01F_impro01\Ses01F_impro01_M009,31099
Ses01F_impro01\Ses01F_impro01_M010,26224
Ses01F_impro01\Ses01F_impro01_M011,32767
Ses01F_impro01\Ses01F_impro01_M012,4192
Ses01F_impro01\Ses01F_impro01_M013,32767
Ses01F_impro02\Ses01F_impro02_F000,2999
Ses01F_impro02\Ses01F_impro02_F001,1339
Ses01F_impro02\Ses01F_impro02_F002,4500
Ses01F_impro02\Ses01F_impro02_F003,4965
Ses01F_impro02\Ses01F_impro02_F004,3938
Ses01F_impro02\Ses01F_impro02_F005,3347
Ses01F_impro02\Ses01F_impro02_F006,6948
Ses01F_impro02\Ses01F_impro02_F007,13630
Ses01F_impro02\Ses01F_impro02_F008,2671
Ses01F_impro02\Ses01F_impro02_F009,2610
Ses01F_impro02\Ses01F_impro02_F010,1909
Ses01F_impro02\Ses01F_impro02_F011,3336
Ses01F_impro02\Ses01F_impro02_F012,3131
Ses01F_impro02\Ses01F_impro02_F013,7276
Ses01F_impro02\Ses01F_impro02_F014,4511
Ses01F_impro02\Ses01F_impro02_F015,4255
Ses01F_impro02\Ses01F_impro02_F016,2420
Ses01F_impro02\Ses01F_impro02_F017,10206
Ses01F_impro02\Ses01F_impro02_F018,2787
Ses01F_impro02\Ses01F_impro02_F019,2191
Ses01F_impro02\Ses01F_impro02_F020,3401
Ses01F_impro02\Ses01F_impro02_M000,2361
Ses01F_impro02\Ses01F_impro02_M001,3143
Ses01F_impro02\Ses01F_impro02_M002,3926
Ses01F_impro02\Ses01F_impro02_M003,3251
Ses01F_impro02\Ses01F_impro02_M004,3060
Ses01F_impro02\Ses01F_impro02_M005,3133
Ses01F_impro02\Ses01F_impro02_M006,3224
Ses01F_impro02\Ses01F_impro02_M007,1674
Ses01F_impro02\Ses01F_impro02_M008,1133
Ses01F_impro02\Ses01F_impro02_M009,1841
Ses01F_impro02\Ses01F_impro02_M010,1248
Ses01F_impro02\Ses01F_impro02_M011,1109
Ses01F_impro02\Ses01F_impro02_M012,3195
Ses01F_impro02\Ses01F_impro02_M013,3616
Ses01F_impro02\Ses01F_impro02_M014,2197
Ses01F_impro02\Ses01F_impro02_M015,2673
Ses01F_impro02\Ses01F_impro02_M016,1744
Ses01F_impro03\Ses01F_impro03_F000,9086
Ses01F_impro03\Ses01F_impro03_F001,10190
Ses01F_impro03\Ses01F_impro03_F002,27099
Ses01F_impro03\Ses01F_impro03_F003,32767
Ses01F_impro03\Ses01F_impro03_F004,30255
Ses01F_impro03\Ses01F_impro03_F005,29837
Ses01F_impro03\Ses01F_impro03_F006,11978
Ses01F_impro03\Ses01F_impro03_F007,17018
Ses01F_impro03\Ses01F_impro03_F008,25271
Ses01F_impro03\Ses01F_impro03_F009,17015
Ses01F_impro03\Ses01F_impro03_F010,14179
Ses01F_impro03\Ses01F_impro03_F011,10966
Ses01F_impro03\Ses01F_impro03_F012,20924
Ses01F_impro03\Ses01F_impro03_F013,21830
Ses01F_impro03\Ses01F_impro03_F014,26426
Ses01F_impro03\Ses01F_impro03_F015,32617
Ses01F_impro03\Ses01F_impro03_F016,8327
Ses01F_impro03\Ses01F_impro03_F017,8080
Ses01F_impro03\Ses01F_impro03_F018,13814
Ses01F_impro03\Ses01F_impro03_F019,2108
Ses01F_impro03\Ses01F_impro03_F020,8436
Ses01F_impro03\Ses01F_impro03_F021,12782
Ses01F_impro03\Ses01F_impro03_F022,4803
Ses01F_impro03\Ses01F_impro03_F023,1247
Ses01F_impro03\Ses01F_impro03_F024,7992
Ses01F_impro03\Ses01F_impro03_F025,9605
Ses01F_impro03\Ses01F_impro03_F026,11972
Ses01F_impro03\Ses01F_impro03_M000,13749
Ses01F_impro03\Ses01F_impro03_M001,9212
Ses01F_impro03\Ses01F_impro03_M002,32379
Ses01F_impro03\Ses01F_impro03_M003,32767
Ses01F_impro03\Ses01F_impro03_M004,24317
Ses01F_impro03\Ses01F_impro03_M005,15988
Ses01F_impro03\Ses01F_impro03_M006,7953
Ses01F_impro03\Ses01F_impro03_M007,9455
Ses01F_impro03\Ses01F_impro03_M008,9044
Ses01F_impro03\Ses01F_impro03_M009,10178
