session,max(silence_ratio(silence_ratio)),mean(silence_ratio(silence_ratio)),var(silence_ratio(silence_ratio))
Ses01F_impro01_F000,0.006875,0.00348684210526,4.45377423823e-06
Ses01F_impro01_F001,0.006875,0.00394230769231,5.19138313609e-06
Ses01F_impro01_F002,0.006875,0.00377016129032,5.40533949011e-06
Ses01F_impro01_F003,0.0075,0.00299107142857,5.36710778061e-06
Ses01F_impro01_F004,0.00875,0.0021875,6.23276654412e-06
Ses01F_impro01_F005,0.008125,0.001609375,4.95874023438e-06
Ses01F_impro01_F006,0.005,0.000475543478261,8.52323074197e-07
Ses01F_impro01_F007,0.006875,0.00149553571429,3.60879703444e-06
Ses01F_impro01_F008,0.008125,0.000913461538462,3.55260724852e-06
Ses01F_impro01_F009,0.008125,0.002625,4.828125e-06
Ses01F_impro01_F010,0.004375,0.000668103448276,9.94909334126e-07
Ses01F_impro01_F011,0.0075,0.00105867346939,2.66588140358e-06
Ses01F_impro01_F012,0.006875,0.00178240740741,2.97175068587e-06
Ses01F_impro01_F013,0.005625,0.00155303030303,3.17521808999e-06
Ses01F_impro01_F014,0.00625,0.0014625,2.80640625e-06
Ses01F_impro01_F015,0.005625,0.000347222222222,1.19598765432e-06
Ses01F_impro01_M000,0.00625,0.00241379310345,2.92899078478e-06
Ses01F_impro01_M001,0.008125,0.00390202702703,4.29487764792e-06
Ses01F_impro01_M002,0.005625,0.00194196428571,3.69250239158e-06
Ses01F_impro01_M003,0.00625,0.000916666666667,1.76388888889e-06
Ses01F_impro01_M004,0.004375,0.000714285714286,1.38711734694e-06
Ses01F_impro01_M005,0.005625,0.00113425925926,2.47985253772e-06
Ses01F_impro01_M006,0.005625,0.000504385964912,1.15732725454e-06
Ses01F_impro01_M007,0.006875,0.000907258064516,2.33968522373e-06
Ses01F_impro01_M008,0.00875,0.00234375,5.64852627841e-06
Ses01F_impro01_M009,0.0075,0.00143581081081,3.41775474799e-06
Ses01F_impro01_M010,0.006875,0.00110795454545,2.5721526343e-06
Ses01F_impro01_M011,0.009375,0.00119791666667,2.29763454861e-06
Ses01F_impro01_M012,0.005625,0.00272321428571,2.71245216837e-06
Ses01F_impro01_M013,0.080625,0.00265625,0.000111180013021
Ses01F_impro02_F000,0.010625,0.00411290322581,5.10183619494e-06
Ses01F_impro02_F001,0.01,0.00396551724138,5.3953626635e-06
Ses01F_impro02_F002,0.009375,0.00333333333333,5.32255116959e-06
Ses01F_impro02_F003,0.008125,0.00344866071429,3.85032186703e-06
Ses01F_impro02_F004,0.00875,0.00366228070175,5.84482725454e-06
Ses01F_impro02_F005,0.006875,0.003675,5.01e-06
Ses01F_impro02_F006,0.006875,0.00306547619048,4.92577239229e-06
Ses01F_impro02_F007,0.008125,0.00201844262295,6.29346109917e-06
Ses01F_impro02_F008,0.01,0.00396381578947,8.10600978186e-06
Ses01F_impro02_F009,0.0075,0.00332848837209,4.22821457545e-06
Ses01F_impro02_F010,0.01,0.00424107142857,5.98094706633e-06
Ses01F_impro02_F011,0.0125,0.00369318181818,9.43095730028e-06
Ses01F_impro02_F012,0.008125,0.004125,7.69791666667e-06
Ses01F_impro02_F013,0.010625,0.00434426229508,6.62687281645e-06
