session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude))
Angry_0,32127.0,224.1881875,68132891.2012,19452.8295455,2.87426917614,22434214.1129,84677356.0959,5801.53514733,3.42339622687e+14
Angry_1,31659.0,33.88525,43522687.179,10497.1558442,-1.35009821429,5693347.2806,61734011.1445,61.0666763728,7.49347427303e+13
Angry_10,10055.0,4.5810625,3412921.04422,5582.49295775,0.0639295774648,2120812.97319,2280095.60206,2.65500029896,6.73722375567e+11
Angry_100,32570.0,76.9925625,93013610.8891,25635.7090909,-3.347075,40070062.549,52979455.3699,1167.53970716,6.69378019279e+14
Angry_101,32150.0,92.59575,104433190.644,18288.0727273,2.68007386364,25789426.881,160862466.177,1498.21639478,8.11027705473e+14
Angry_102,32195.0,49.7011875,44317827.0924,17564.0,-2.62062613636,12983908.3881,107599802.545,602.130088132,1.23467653538e+14
Angry_103,32399.0,110.563625,94924668.7823,23731.8181818,-0.695809090909,25630180.6873,83410987.276,1109.1756345,4.1661014559e+14
Angry_104,32217.0,99.371,61235194.946,23842.5090909,-4.82869431818,20832303.46,83969259.8136,1660.60614474,1.99693312804e+14
Angry_105,31771.0,32.5393125,49189612.0115,13784.7454545,-1.0864375,7605074.82706,13318662.7352,82.4603255128,4.97597360798e+13
Angry_106,16184.0,10.5241875,16489575.3822,12879.2181818,-1.36972159091,6489211.42313,11476601.6979,36.2944403108,1.50009687698e+13
Angry_107,16111.0,6.13875,23802711.4705,10534.0363636,-1.64717840909,5588584.02462,28625562.9441,10.0479550574,2.77337238128e+13
Angry_108,16268.0,10.670875,23275319.8371,12396.0363636,-1.78798181818,6927975.93008,15928384.9441,39.6184872433,3.07729109554e+13
Angry_109,16150.0,9.022,15850231.1388,12917.4181818,-1.87537159091,7506112.32275,17395596.7888,25.7788890648,1.48495246905e+13
Angry_11,7543.0,7.1124375,2698849.42136,4070.09615385,0.415933293269,1005983.87109,2712629.54845,3.46969373552,3.68915129443e+11
Angry_110,26050.0,20.1196875,18157456.4567,14944.9454545,-1.86586818182,8326889.539,25476532.7425,52.2591576796,2.18451045749e+13
