session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Angry_0,49292013.0,12971421.7386,1.57710507662e+14
Angry_1,39972858.0,16494842.3766,9.91489835618e+13
Angry_10,70797837.0,22456724.6761,1.64912064014e+14
Angry_100,38072837.0,6069992.50909,5.91702635185e+13
Angry_101,74414329.0,22235699.8727,3.23393717669e+14
Angry_102,38186106.0,16261798.8182,9.49835835725e+13
Angry_103,47175774.0,8764509.96364,1.04265674601e+14
Angry_104,61233721.0,16563382.4545,1.97317622476e+14
Angry_105,66552379.0,14171009.5818,1.59839556828e+14
Angry_106,61547100.0,20396992.5273,2.2314406192e+14
Angry_107,69174233.0,23105811.0,2.92683060298e+14
Angry_108,47065588.0,17466486.5091,1.3756837365e+14
Angry_109,46619940.0,15973907.2545,1.35731371939e+14
Angry_11,79939066.0,26694398.9327,3.08969533159e+14
Angry_110,34609502.0,11396555.4545,7.68226275659e+13
Angry_111,46568659.0,17892295.1636,1.69096302028e+14
Angry_112,64022208.0,19684369.3273,1.31188711086e+14
Angry_113,53364402.0,17990512.6182,1.52628994943e+14
Angry_114,62679002.0,14477579.3455,1.52741296223e+14
Angry_115,55001340.0,13385986.9273,1.16982397625e+14
Angry_116,62797742.0,24517478.3273,1.66025216964e+14
Angry_117,58964709.0,20096459.7386,1.88740738841e+14
Angry_118,33050688.0,8522530.23636,6.83628235626e+13
Angry_119,34216133.0,4893441.6,4.51165148056e+13
Angry_12,53594196.0,21117061.3818,1.7489819152e+14
Angry_120,23726890.0,7081315.32727,4.11180623331e+13
Angry_121,28387514.0,5953821.43636,3.30303322061e+13
Angry_122,39200376.0,6448678.49091,1.02162098418e+14
Angry_123,63326636.0,9768991.10909,2.34417825376e+14
Angry_124,36101290.0,3750362.85455,7.16744021641e+13
Angry_125,24655962.0,4284434.07273,2.63095051165e+13
Angry_126,39630515.0,5409413.98182,8.94655377268e+13
Angry_127,52502283.0,11369997.9818,1.9809915561e+14
Angry_128,33270634.0,5613360.03636,3.99305010545e+13
Angry_129,40994473.0,6871547.23636,6.20653802276e+13
Angry_13,27088361.0,4996072.8,3.713004433e+13
Angry_130,26468605.0,3606349.56364,2.68835554514e+13
Angry_131,32216601.0,5720865.90909,3.74463629739e+13
Angry_132,46455163.0,8292167.78182,1.11961753648e+14
Angry_133,27338280.0,7180786.0,5.13195525724e+13
Angry_134,23227829.0,5720884.65455,3.51912435496e+13
Angry_135,25850687.0,5714413.8961,2.95709391891e+13
Angry_136,47233025.0,14988694.9091,1.1113454457e+14
Angry_137,39908571.0,19204852.2727,7.77724696905e+13
Angry_138,38392742.0,12252659.3977,8.56597524591e+13
Angry_139,54948026.0,14838935.3944,1.12164541172e+14
Angry_14,66341735.0,7513101.41818,1.50574435935e+14
Angry_140,49492904.0,19838271.0364,1.20319545028e+14
Angry_141,61607085.0,19112047.6545,1.07481658666e+14
Angry_142,73644037.0,25189066.8182,2.49513198422e+14
Angry_143,48619765.0,22189356.6545,1.26860136459e+14
Angry_144,53688470.0,24381676.0727,1.19301710085e+14
Angry_145,79796185.0,24037108.0727,3.1096816241e+14
Angry_146,79798576.0,27430163.1398,2.61504595829e+14
Angry_147,10981983.0,3367015.88333,7.36003729404e+12
Angry_148,50151564.0,20715310.1455,2.13310231874e+14
Angry_149,63551916.0,16453250.0364,2.52443454323e+14
Angry_15,82749614.0,17187794.9692,4.84253585929e+14
