session,max(f0(f0)),mean(f0(f0)),var(f0(f0))
Angry_0,113.00625,33.2629261364,393.633748986
Angry_1,198.45,35.9028409091,394.29444683
Angry_10,163.996875,89.6363556338,1544.0426427
Angry_100,84.065625,46.7059090909,112.70524287
Angry_101,67.528125,33.0123579545,316.416179534
Angry_102,223.25625,48.8357386364,1146.68605665
Angry_103,163.3078125,61.4393181818,1234.77070559
Angry_104,465.1171875,63.4313352273,6233.56872562
Angry_105,150.215625,46.9314204545,860.327601267
Angry_106,146.08125,50.4017897727,1047.32815229
Angry_107,128.8546875,44.2378125,602.839302859
Angry_108,166.0640625,41.0430681818,464.996122493
Angry_109,117.8296875,42.7093465909,415.145297984
Angry_11,150.215625,48.7114182692,551.671800729
Angry_110,113.00625,40.7048011364,196.93021998
Angry_111,145.3921875,36.2572159091,318.198315118
Angry_112,176.4,46.1546590909,558.260799493
Angry_113,119.896875,38.4496875,181.642215234
Angry_114,58.5703125,38.3995738636,112.528504746
Angry_115,233.5921875,50.4143181818,979.963301648
Angry_116,41.34375,28.7777556818,26.0360685337
Angry_117,1151.4234375,47.5609730114,14246.6092397
Angry_118,148.1484375,58.0566477273,810.249183258
Angry_119,166.0640625,66.8390625,921.574738636
Angry_12,169.509375,41.7446590909,1818.47143561
Angry_120,135.05625,59.3596022727,439.868544426
Angry_121,121.9640625,54.1603125,529.687926722
Angry_122,152.2828125,63.4438636364,1385.69187934
Angry_123,175.7109375,63.8823579545,1476.02295461
Angry_124,151.59375,72.2889204545,1279.8775398
Angry_125,136.434375,62.29125,925.936057937
Angry_126,163.3078125,64.8219886364,1302.8164532
Angry_127,185.3578125,71.0486079545,2093.77292788
Angry_128,149.5265625,73.3413068182,1092.69114691
Angry_129,144.0140625,67.6408806818,688.966961627
Angry_13,106.8046875,36.8711079545,503.189764903
Angry_130,170.8875,77.9642897727,1322.09472136
Angry_131,183.9796875,82.6499147727,1388.65404798
Angry_132,150.9046875,64.2832670455,1285.06416022
Angry_133,137.8125,53.8972159091,880.822317444
Angry_134,195.0046875,64.9598011364,949.000540168
Angry_135,226.7015625,68.8794034091,1504.09576874
Angry_136,153.6609375,37.209375,348.283978338
Angry_137,188.1140625,36.5578977273,471.723786347
Angry_138,76.4859375,37.3973011364,73.2036834011
Angry_139,161.240625,90.9659551056,810.910295164
Angry_14,68.90625,29.9178409091,85.459946528
Angry_140,183.290625,69.6454261364,703.230010818
Angry_141,170.1984375,72.9403977273,924.482598759
Angry_142,152.971875,71.6499715909,961.000839088
Angry_143,203.2734375,70.5098863636,1087.15387554
Angry_144,178.4671875,77.6636079545,1083.43515471
Angry_145,181.9125,79.5679261364,1542.37823188
Angry_146,239.79375,76.9971774194,1643.37285588
Angry_147,49.6125,16.227421875,140.32805993
Angry_148,372.09375,151.719034091,2540.6513521
Angry_149,490.6125,159.636988636,11478.9553559
Angry_15,1077.69375,56.2062980769,17223.5331901
Angry_150,442.378125,114.296676136,5463.59794123
Angry_151,538.846875,187.437528409,21648.2956484
Angry_152,452.7140625,128.503892045,6965.74643216
Angry_153,435.4875,132.249886364,7662.7975149
Angry_154,236.3484375,116.013068182,1661.1923982
Angry_155,1451.8546875,192.536590909,69831.2085715
Angry_156,1497.3328125,202.434034091,45353.2263022
Angry_157,2129.203125,200.705113636,148924.437898
Angry_158,211.5421875,85.5815625,2403.4633271
Angry_159,195.0046875,76.1351420455,2643.87928772
Angry_16,73.7296875,29.9679545455,257.602252119
Angry_160,187.425,91.5951988636,1564.5819398
Angry_161,182.6015625,71.9255965909,1842.29466748
Angry_162,154.35,62.3288352273,1751.70711788
Angry_163,308.0109375,65.6739204545,3380.62456036
Angry_164,210.1640625,67.9916761364,2782.09446574
Angry_165,554.6953125,127.413920455,14132.8719879
Angry_166,208.7859375,55.7263636364,1901.18048305
Angry_167,188.803125,96.7569034091,2362.28962249
Angry_168,208.7859375,94.5143181818,2695.60548267
Angry_169,193.6265625,105.664602273,2125.41313319
Angry_17,152.971875,58.5452556818,832.534824837
Angry_170,184.66875,82.0736079545,1958.49606043
Angry_171,166.753125,102.018835227,1595.54909618
Angry_172,152.971875,66.5007954545,1385.53680184
Angry_173,176.4,106.792159091,1637.9376792
Angry_174,525.7546875,121.112130682,6922.5491859
Angry_175,436.1765625,124.544914773,9928.44528677
Angry_176,598.10625,155.337035473,9471.38948478
Angry_177,141.2578125,53.0953977273,715.947307743
Angry_178,44.7890625,33.7515340909,27.8580722204
Angry_179,105.4265625,37.4474147727,150.111882654
Angry_18,90.95625,35.8061931818,318.413665657
Angry_180,208.7859375,47.9712784091,904.02398362
Angry_181,141.2578125,49.9632954545,638.811946633
Angry_182,132.9890625,40.2765434451,282.419361751
Angry_183,179.15625,80.1896484375,758.356685642
Angry_184,40.6546875,15.0408266129,100.76758848
Angry_185,43.4109375,30.87,17.8941857599
Angry_186,44.1,29.2460049716,12.5161096667
Angry_187,155.728125,85.4186931818,516.865779826
Angry_188,196.3828125,88.8264204545,1297.49288428
Angry_189,169.509375,66.3379261364,1535.87941721
Angry_19,113.6953125,44.1876988636,457.38696547
Angry_190,241.171875,71.5622727273,2667.38734183
Angry_191,134.3671875,39.8653977273,398.983334199
Angry_192,208.096875,49.7503125,715.826133825
Angry_193,168.13125,72.8025852273,740.11585389
Angry_194,220.5,66.7711267606,1123.59636188
Angry_195,119.896875,52.8583470395,183.098321119
Angry_196,75.796875,43.0476136364,128.782447697
Angry_197,170.1984375,48.2469034091,1044.67048806
Angry_198,143.325,45.5282386364,358.779020939
Angry_199,209.475,70.4723011364,1634.46664288
Angry_2,1025.325,91.6327840909,16787.8763598
Angry_20,132.9890625,60.1238352273,706.793026298
Angry_200,182.6015625,59.7229261364,1225.03786577
Angry_201,146.08125,39.5146022727,270.419376262
Angry_202,150.9046875,53.0202272727,453.73291259
Angry_203,178.4671875,53.5589488636,490.68216792
Angry_204,152.971875,61.1386363636,450.401257675
Angry_205,169.509375,71.5121590909,909.448870889
Angry_206,185.3578125,73.1909659091,1692.8978993
Angry_207,188.803125,74.8262600806,1502.01647688
Angry_208,142.6359375,34.2025568182,259.924333662
Angry_209,150.9046875,31.7986683239,256.800943966
Angry_21,120.5859375,44.8266477273,400.606311294
Angry_210,151.59375,54.542693662,548.79208247
Angry_211,145.3921875,36.3449147727,365.052753482
Angry_212,139.8796875,41.6694886364,473.337031859
