session,max(silence_ratio(silence_ratio)),mean(silence_ratio(silence_ratio)),var(silence_ratio(silence_ratio))
Angry_0,1.0,1.0,0.0
Angry_1,1.0,1.0,0.0
Angry_10,1.0,1.0,0.0
Angry_100,1.0,1.0,0.0
Angry_101,1.0,1.0,0.0
Angry_102,1.0,1.0,0.0
Angry_103,1.0,1.0,0.0
Angry_104,1.0,1.0,0.0
Angry_105,1.0,1.0,0.0
Angry_106,1.0,1.0,0.0
Angry_107,1.0,1.0,0.0
Angry_108,1.0,1.0,0.0
Angry_109,1.0,1.0,0.0
Angry_11,1.0,1.0,0.0
Angry_110,1.0,1.0,0.0
Angry_111,1.0,1.0,0.0
Angry_112,1.0,1.0,0.0
Angry_113,1.0,1.0,0.0
Angry_114,1.0,1.0,0.0
Angry_115,1.0,1.0,0.0
Angry_116,1.0,1.0,0.0
Angry_117,1.0,1.0,0.0
Angry_118,1.0,1.0,0.0
Angry_119,1.0,1.0,0.0
Angry_12,1.0,1.0,0.0
Angry_120,1.0,1.0,0.0
Angry_121,1.0,1.0,0.0
Angry_122,1.0,1.0,0.0
Angry_123,1.0,1.0,0.0
Angry_124,1.0,1.0,0.0
Angry_125,1.0,1.0,0.0
Angry_126,1.0,1.0,0.0
Angry_127,1.0,1.0,0.0
Angry_128,1.0,1.0,0.0
Angry_129,1.0,1.0,0.0
Angry_13,1.0,1.0,0.0
Angry_130,1.0,1.0,0.0
Angry_131,1.0,1.0,0.0
Angry_132,1.0,1.0,0.0
Angry_133,1.0,1.0,0.0
Angry_134,1.0,1.0,0.0
Angry_135,1.0,1.0,0.0
Angry_136,1.0,1.0,0.0
Angry_137,1.0,1.0,0.0
Angry_138,1.0,1.0,0.0
Angry_139,1.0,1.0,0.0
Angry_14,1.0,1.0,0.0
Angry_140,1.0,1.0,0.0
Angry_141,1.0,1.0,0.0
Angry_142,1.0,1.0,0.0
Angry_143,1.0,1.0,0.0
Angry_144,1.0,1.0,0.0
Angry_145,1.0,1.0,0.0
Angry_146,1.0,1.0,0.0
Angry_147,1.0,1.0,0.0
Angry_148,1.0,1.0,0.0
Angry_149,1.0,1.0,0.0
Angry_15,1.0,1.0,0.0
Angry_150,1.0,1.0,0.0
Angry_151,1.0,1.0,0.0
Angry_152,1.0,1.0,0.0
Angry_153,1.0,1.0,0.0
Angry_154,1.0,1.0,0.0
Angry_155,1.0,1.0,0.0
Angry_156,1.0,1.0,0.0
Angry_157,1.0,1.0,0.0
Angry_158,1.0,1.0,0.0
Angry_159,1.0,1.0,0.0
Angry_16,1.0,1.0,0.0
Angry_160,1.0,1.0,0.0
Angry_161,1.0,1.0,0.0
Angry_162,1.0,1.0,0.0
Angry_163,1.0,1.0,0.0
Angry_164,1.0,1.0,0.0
Angry_165,1.0,1.0,0.0
Angry_166,1.0,1.0,0.0
Angry_167,1.0,1.0,0.0
Angry_168,1.0,1.0,0.0
Angry_169,1.0,1.0,0.0
Angry_17,1.0,1.0,0.0
Angry_170,1.0,1.0,0.0
Angry_171,1.0,1.0,0.0
Angry_172,1.0,1.0,0.0
Angry_173,1.0,1.0,0.0
Angry_174,1.0,1.0,0.0
Angry_175,1.0,1.0,0.0
Angry_176,1.0,1.0,0.0
Angry_177,1.0,1.0,0.0
Angry_178,1.0,1.0,0.0
Angry_179,1.0,1.0,0.0
Angry_18,1.0,1.0,0.0
Angry_180,1.0,1.0,0.0
Angry_181,1.0,1.0,0.0
Angry_182,1.0,1.0,0.0
Angry_183,1.0,1.0,0.0
Angry_184,1.0,1.0,0.0
Angry_185,1.0,1.0,0.0
Angry_186,1.0,1.0,0.0
Angry_187,1.0,1.0,0.0
Angry_188,1.0,1.0,0.0
Angry_189,1.0,1.0,0.0
Angry_19,1.0,1.0,0.0
Angry_190,1.0,1.0,0.0
Angry_191,1.0,1.0,0.0
Angry_192,1.0,1.0,0.0
Angry_193,1.0,1.0,0.0
Angry_194,1.0,1.0,0.0
Angry_195,1.0,1.0,0.0
Angry_196,1.0,1.0,0.0
Angry_197,1.0,1.0,0.0
Angry_198,1.0,1.0,0.0
Angry_199,1.0,1.0,0.0
Angry_2,1.0,1.0,0.0
Angry_20,1.0,1.0,0.0
Angry_200,1.0,1.0,0.0
Angry_201,1.0,1.0,0.0
Angry_202,1.0,1.0,0.0
Angry_203,1.0,1.0,0.0
Angry_204,1.0,1.0,0.0
Angry_205,1.0,1.0,0.0
Angry_206,1.0,1.0,0.0
Angry_207,1.0,1.0,0.0
Angry_208,1.0,1.0,0.0
Angry_209,1.0,1.0,0.0
Angry_21,1.0,1.0,0.0
Angry_210,1.0,1.0,0.0
Angry_211,1.0,1.0,0.0
Angry_212,1.0,1.0,0.0
Angry_213,1.0,1.0,0.0
Angry_214,1.0,1.0,0.0
Angry_215,1.0,1.0,0.0
Angry_216,1.0,1.0,0.0
Angry_217,1.0,1.0,0.0
Angry_218,1.0,1.0,0.0
Angry_219,1.0,1.0,0.0
Angry_22,1.0,1.0,0.0
Angry_220,1.0,1.0,0.0
Angry_221,1.0,1.0,0.0
Angry_222,1.0,1.0,0.0
Angry_223,1.0,1.0,0.0
Angry_224,1.0,1.0,0.0
Angry_225,1.0,1.0,0.0
Angry_226,1.0,1.0,0.0
Angry_227,1.0,1.0,0.0
Angry_228,1.0,1.0,0.0
Angry_229,1.0,1.0,0.0
Angry_23,1.0,1.0,0.0
Angry_230,1.0,1.0,0.0
Angry_231,1.0,1.0,0.0
Angry_24,1.0,1.0,0.0
Angry_25,1.0,1.0,0.0
Angry_26,1.0,1.0,0.0
Angry_27,1.0,1.0,0.0
Angry_28,1.0,1.0,0.0
Angry_29,1.0,1.0,0.0
Angry_3,1.0,1.0,0.0
Angry_30,1.0,1.0,0.0
Angry_31,1.0,1.0,0.0
Angry_32,1.0,1.0,0.0
Angry_33,1.0,1.0,0.0
Angry_34,1.0,1.0,0.0
Angry_35,1.0,1.0,0.0
Angry_36,1.0,1.0,0.0
Angry_37,1.0,1.0,0.0
Angry_38,1.0,1.0,0.0
Angry_39,1.0,1.0,0.0
Angry_4,1.0,1.0,0.0
Angry_40,1.0,1.0,0.0
Angry_41,1.0,1.0,0.0
Angry_42,1.0,1.0,0.0
Angry_43,1.0,1.0,0.0
Angry_44,1.0,1.0,0.0
Angry_45,1.0,1.0,0.0
Angry_46,1.0,1.0,0.0
Angry_47,1.0,1.0,0.0
Angry_48,1.0,1.0,0.0
Angry_49,1.0,1.0,0.0
Angry_5,1.0,1.0,0.0
