session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Angry_0,9645.0,7532.77272727,2016820.94835
Angry_1,8057.0,7026.57142857,376882.270872
Angry_10,9430.0,8046.74647887,259515.034319
Angry_100,8654.0,7556.70909091,741225.079008
Angry_101,13048.0,7723.34545455,1526922.08066
Angry_102,8491.0,7469.45454545,425266.938843
Angry_103,8225.0,7327.87272727,384077.201983
Angry_104,8751.0,7269.78181818,639592.206942
Angry_105,8497.0,7199.85454545,475658.669752
Angry_106,7929.0,7212.38181818,329946.490579
Angry_107,7874.0,7185.85454545,253133.25157
Angry_108,8646.0,7330.87272727,398611.638347
Angry_109,8118.0,7185.96363636,333770.144132
Angry_11,9551.0,7561.47115385,188174.287629
Angry_110,8216.0,7152.72727273,352632.598347
Angry_111,8160.0,7291.69090909,275864.17719
Angry_112,8149.0,7154.10909091,415107.624463
Angry_113,8552.0,7314.05454545,396069.687934
Angry_114,8493.0,7482.45454545,393903.41157
Angry_115,8266.0,7515.38181818,298633.690579
Angry_116,8338.0,7404.92727273,365050.212893
Angry_117,8854.0,7446.04545455,326668.043388
Angry_118,9365.0,7914.18181818,546281.566942
Angry_119,8806.0,7450.25454545,565269.753388
Angry_12,7921.0,6898.23636364,766756.835041
Angry_120,9776.0,7810.81818182,923243.276033
Angry_121,9033.0,7676.8,561345.650909
Angry_122,9535.0,7741.72727273,569091.980165
Angry_123,10634.0,8007.47272727,1037284.21289
Angry_124,9001.0,7866.56363636,339380.13686
Angry_125,9778.0,7865.81818182,601879.34876
Angry_126,9033.0,7734.54545455,438456.029752
Angry_127,10180.0,7865.41818182,954051.58876
Angry_128,10786.0,7584.45454545,932437.01157
Angry_129,10999.0,7839.36363636,923147.649587
Angry_13,7973.0,7095.07272727,390595.994711
Angry_130,8911.0,7756.94545455,399677.906116
Angry_131,10874.0,7435.47272727,1004884.54017
Angry_132,9923.0,7626.61818182,736270.345124
Angry_133,8952.0,7578.18181818,529248.621488
Angry_134,8417.0,7287.07272727,359179.449256
Angry_135,9152.0,7743.46753247,561141.002193
Angry_136,8478.0,7285.76363636,742169.089587
Angry_137,8423.0,7129.29090909,450573.879008
Angry_138,8335.0,7249.07954545,309408.459582
Angry_139,7961.0,7237.85915493,142828.881571
Angry_14,7655.0,6814.09090909,286294.700826
Angry_140,9322.0,7991.54545455,471309.266116
Angry_141,8799.0,7955.03636364,509834.21686
Angry_142,8711.0,7846.72727273,579554.12562
Angry_143,9072.0,7849.05454545,379540.415207
Angry_144,8818.0,7964.27272727,475388.598347
Angry_145,8889.0,7949.12727273,385888.220165
Angry_146,9331.0,8138.25806452,245763.030177
Angry_147,8272.0,7732.45,74716.6141667
Angry_148,7590.0,6686.45454545,525720.284298
Angry_149,7735.0,6895.47272727,361982.467438
Angry_15,8170.0,6849.16923077,481735.186746
Angry_150,7660.0,7041.47272727,306661.740165
Angry_151,7562.0,6643.36363636,404860.304132
Angry_152,7806.0,6999.70909091,465688.133554
Angry_153,7807.0,6573.2,442628.705455
Angry_154,7813.0,7068.81818182,372912.657851
Angry_155,7972.0,6892.01818182,417826.999669
Angry_156,7963.0,6421.32727273,589526.692893
Angry_157,7804.0,6614.52727273,563245.121983
Angry_158,7584.0,7025.29090909,273631.733554
Angry_159,7715.0,7166.09090909,267079.682645
Angry_16,9521.0,7630.12727273,359484.838347
Angry_160,7886.0,7254.89090909,295761.733554
Angry_161,8646.0,7303.92727273,431223.340165
Angry_162,7965.0,7184.0,320257.381818
Angry_163,7556.0,7067.54545455,298436.757025
Angry_164,7651.0,7063.6,224518.530909
Angry_165,7619.0,7094.89090909,326212.715372
Angry_166,7907.0,7105.0,358138.727273
Angry_167,7668.0,7111.0,233867.054545
Angry_168,7507.0,7134.70909091,227546.460826
Angry_169,7699.0,7176.32727273,275705.856529
Angry_17,8358.0,7480.18181818,325116.257851
Angry_170,7736.0,7079.38181818,293790.199669
Angry_171,7801.0,7115.32727273,286247.311074
Angry_172,7643.0,7026.01818182,337269.690579
Angry_173,7714.0,7129.83636364,252276.53686
Angry_174,7719.0,7100.98181818,338494.854215
Angry_175,7658.0,6890.89090909,306571.915372
Angry_176,7561.0,6949.60810811,172605.697772
Angry_177,9864.0,7445.85454545,485628.669752
Angry_178,7722.0,6912.50909091,294441.77719
Angry_179,8254.0,7265.63636364,317375.97686
Angry_18,8256.0,7455.72727273,339449.143802
Angry_180,8330.0,7379.65454545,409866.844298
Angry_181,8384.0,7312.01818182,480504.672397
Angry_182,9106.0,7240.13414634,166882.189322
Angry_183,8061.0,7128.60227273,164121.375904
Angry_184,8383.0,7799.96774194,82692.9989594
Angry_185,8289.0,6915.16363636,370792.464132
Angry_186,7673.0,6614.35227273,252011.523631
Angry_187,8142.0,7299.05454545,282304.560661
Angry_188,7699.0,7031.26136364,196368.261235
Angry_189,8285.0,7149.29090909,344761.260826
Angry_19,8543.0,7334.65454545,369980.589752
Angry_190,7879.0,7186.18181818,308873.712397
Angry_191,8167.0,7395.70909091,425769.988099
Angry_192,8186.0,7104.01818182,289643.581488
Angry_193,7568.0,6839.47272727,366579.994711
Angry_194,7979.0,7147.57746479,208163.173577
Angry_195,7915.0,7243.21052632,256744.587258
Angry_196,8946.0,7520.89090909,486665.69719
Angry_197,8290.0,7165.81818182,393286.876033
Angry_198,7909.0,7051.30909091,365893.668099
Angry_199,7898.0,7111.36363636,370014.595041
Angry_2,8224.0,7363.70909091,437310.169917
Angry_20,8382.0,7220.56363636,330187.227769
Angry_200,7887.0,7224.03636364,267996.362314
Angry_201,8067.0,7180.21818182,300126.425124
Angry_202,8781.0,7329.49090909,318466.57719
Angry_203,8548.0,7282.90909091,302285.864463
Angry_204,8402.0,7395.6,256659.730909
Angry_205,8359.0,7176.90909091,401796.955372
Angry_206,7700.0,7032.25454545,247334.844298
Angry_207,7729.0,7056.29032258,153914.335068
Angry_208,9196.0,7136.8,439299.287273
Angry_209,8340.0,7012.81818182,428489.489669
Angry_21,8207.0,7399.18181818,408401.785124
Angry_210,7903.0,7247.84507042,135795.004166
Angry_211,7729.0,6909.09090909,383223.064463
Angry_212,8129.0,7416.09090909,332073.53719
Angry_213,9698.0,7404.26923077,317323.100592
Angry_214,8134.0,7460.70909091,294564.860826
Angry_215,8498.0,7313.54545455,374227.41157
Angry_216,9005.0,7662.10909091,369635.551736
Angry_217,8408.0,7510.14545455,436815.215207
Angry_218,9244.0,7521.70909091,420611.29719
Angry_219,8667.0,7380.36363636,465949.322314
Angry_22,7988.0,7255.05454545,321734.233388
Angry_220,8838.0,7582.45454545,532393.157025
Angry_221,8792.0,7531.52727273,597255.849256
Angry_222,8151.0,7224.38181818,327962.745124
Angry_223,8315.0,7283.52727273,472345.449256
Angry_224,8705.0,7329.16363636,562262.282314
Angry_225,10706.0,7418.4084507,468173.452886
Angry_226,8793.0,7764.12727273,351032.911074
Angry_227,8636.0,7817.09090909,395093.100826
Angry_228,8637.0,7825.0,381079.018182
Angry_229,8981.0,7761.74545455,365103.607934
Angry_23,8499.0,7696.27272727,322431.216529
Angry_230,9266.0,7674.78181818,524705.006942
Angry_231,8473.0,7681.57471264,1714122.26741
Angry_24,8627.0,7452.21818182,487866.352397
Angry_25,8400.0,7392.72727273,272438.489256
Angry_26,8423.0,7282.63636364,441057.213223
Angry_27,8229.0,7079.27272727,369301.72562
Angry_28,8185.0,7329.8,452537.323636
Angry_29,8146.0,7360.70909091,390146.933554
Angry_3,8412.0,7421.6,411911.694545
Angry_30,7839.0,6960.52727273,294873.049256
Angry_31,8082.0,7052.2,477325.941818
Angry_32,7984.0,7162.65454545,310628.444298
Angry_33,8317.0,7240.58181818,439454.679669
Angry_34,8359.0,7313.70909091,328786.424463
Angry_35,8346.0,7308.72727273,374649.616529
Angry_36,8242.0,7059.76363636,348964.580496
Angry_37,7851.0,7174.23636364,382283.853223
Angry_38,7856.0,7061.90909091,291251.428099
Angry_39,7697.0,6914.43636364,221929.04595
Angry_4,8204.0,7161.37804878,103433.210738
Angry_40,8337.0,7180.74545455,365382.698843
Angry_41,8362.0,7176.21818182,364101.734215
Angry_42,7879.0,7069.27272727,328461.72562
Angry_43,7917.0,7095.87272727,366727.783802
Angry_44,7785.0,7234.72727273,274084.198347
Angry_45,8245.0,7188.81818182,360304.876033
Angry_46,8630.0,7357.50909091,300892.395372
Angry_47,8557.0,7290.63636364,429179.904132
Angry_48,7875.0,7370.32727273,253531.420165
Angry_49,8146.0,7143.94545455,394459.760661
Angry_5,7708.0,7260.94545455,224509.833388
Angry_50,7520.0,7029.32727273,207993.820165
Angry_51,7740.0,6926.76363636,297440.762314
Angry_52,8044.0,7145.27272727,289828.12562
Angry_53,8494.0,7220.03636364,321508.180496
Angry_54,8067.0,7262.21818182,237244.825124
Angry_55,8125.0,7295.3047619,247177.183311
Angry_56,10383.0,7419.4,884732.530909
Angry_57,8517.0,7488.23636364,395517.01686
Angry_58,8812.0,7543.38181818,409491.90876
Angry_59,8278.0,7486.58181818,325127.952397
Angry_6,8129.0,7273.2,276881.687273
Angry_60,8501.0,7541.67272727,471022.911074
Angry_61,8270.0,7512.92727273,476174.903802
Angry_62,8783.0,7412.10909091,472018.679008
Angry_63,8620.0,7451.8,504838.196364
Angry_64,8857.0,7460.58181818,578421.18876
Angry_65,8631.0,7364.89090909,407514.824463
Angry_66,9493.0,7606.40909091,428204.900826
Angry_67,9769.0,7444.89090909,1399333.26083
Angry_68,8579.0,7622.09090909,520975.573554
Angry_69,9520.0,7317.74193548,399029.460284
Angry_7,8351.0,7193.83636364,376721.082314
Angry_70,8508.0,7340.96363636,451528.144132
Angry_71,9264.0,7443.32727273,502719.347438
Angry_72,8435.0,7530.56363636,471354.827769
Angry_73,8896.0,7574.72727273,359816.598347
Angry_74,8258.0,7346.45454545,389800.975207
Angry_75,7673.0,6711.38181818,305365.436033
Angry_76,9367.0,7477.53535354,376773.501275
