session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Angry_0,294106.169402,97713.2546669,6456424637.81
Angry_1,190348.850548,24745.0185118,1417202369.44
Angry_10,14896.3955098,9228.45460863,12650734.4851
Angry_100,401943.091491,174077.372394,12557701738.1
Angry_101,451929.894244,112697.119236,15444723423.3
Angry_102,192950.126406,56717.2764359,2360905887.8
Angry_103,411156.301212,111423.845364,7920823893.84
Angry_104,264678.223594,90790.7177906,3796383262.79
Angry_105,212767.176569,33014.4177023,932264519.394
Angry_106,71441.342207,28318.3474887,281562539.992
Angry_107,105690.583377,24350.8984412,532512477.388
Angry_108,100929.079525,30195.4713994,585736395.631
Angry_109,69216.5987764,32704.1109978,281209597.491
Angry_11,11595.3917032,4381.78113661,6969193.39541
Angry_110,80097.8681542,36256.033899,414836005.648
Angry_111,186129.479493,35561.1117238,1684543622.25
Angry_112,76289.9212607,24491.8680592,237815997.576
Angry_113,121718.857797,29539.3121328,680932432.022
Angry_114,133523.999658,45024.8224419,801921265.138
Angry_115,139890.935832,41765.6252649,764028509.041
Angry_116,65661.1546394,15438.3689615,278107321.31
Angry_117,132111.33359,33346.08226,982383864.574
Angry_118,254388.526984,113831.850339,1851328139.95
Angry_119,179402.778079,119560.14469,1272474281.38
Angry_12,598583.880368,63332.4600531,15287408580.2
Angry_120,203877.933209,109692.795982,1614915586.11
Angry_121,172510.315393,108518.77793,1387976378.21
Angry_122,280692.594188,132864.667247,4505326321.64
Angry_123,351691.512859,149186.4713,7311946903.49
Angry_124,353652.703042,152526.636819,3480642732.01
Angry_125,196994.837439,110823.13592,831383766.137
Angry_126,228602.164979,131731.244519,2088550882.84
Angry_127,361882.283974,157421.515475,8196254355.97
Angry_128,261064.843055,132920.832862,2448742224.8
Angry_129,185819.621244,118278.09017,1148025250.47
Angry_13,586681.152431,163694.518732,22741000887.1
Angry_130,195472.814178,128126.481042,1188735798.94
Angry_131,234643.936957,122575.10318,2042807424.05
Angry_132,212834.079114,119205.968534,2280790324.75
Angry_133,334524.271088,139769.885903,7613483394.48
Angry_134,209632.382658,119002.752635,2109264453.19
Angry_135,212472.701376,118614.226554,1648419426.88
Angry_136,131825.072739,39396.9538082,1209420283.73
Angry_137,159405.561197,24599.2321875,907918547.223
Angry_138,274073.157638,48202.3397048,1800929127.44
Angry_139,23703.1277446,12104.5458944,21560001.6948
Angry_14,632206.841917,236823.294637,24671719050.9
Angry_140,19267.0112141,9873.57733533,12813279.4823
Angry_141,16518.6030705,9278.55324394,13649455.7779
Angry_142,20774.7992024,8144.96486925,25243186.5007
Angry_143,25151.1270285,9468.73587561,28224664.7021
Angry_144,16619.8528792,9113.94293888,11314872.4879
Angry_145,18153.0177481,8771.12392681,19588441.8553
Angry_146,17466.1062163,8607.07562537,14861538.5308
Angry_147,116326.718588,64098.1324115,629521981.234
Angry_148,594548.180452,67801.213589,20353650328.0
Angry_149,354089.794043,77125.2765987,8915429475.84
Angry_15,949772.799802,204033.809863,48167964952.6
Angry_150,404028.38909,109495.745341,10919212607.1
Angry_151,501652.043944,68473.359095,13372236383.2
Angry_152,466985.366107,133743.209003,17492301200.9
Angry_153,554872.050309,64668.1249095,14202156692.5
Angry_154,1003009.96534,198191.563302,56128811256.9
Angry_155,286467.554955,34697.7994437,4023248984.67
Angry_156,112973.807149,14235.071244,719376215.187
Angry_157,109356.380141,21470.4358267,897666225.896
Angry_158,554101.016615,71072.7613953,10280322261.3
Angry_159,236395.370464,63282.7781467,6211234994.52
Angry_16,9807.36116681,4784.60911913,8321059.56609
Angry_160,210761.819475,45722.2592675,2106531028.14
Angry_161,140770.238862,36323.4560808,1340531612.31
Angry_162,241598.562067,36177.862559,3069766048.88
Angry_163,139196.376697,23939.0417541,1292642025.96
Angry_164,104592.118674,23135.3784446,990550187.245
Angry_165,315897.442919,78731.0385152,8554200408.74
Angry_166,159580.764021,15656.7846719,1114331486.77
Angry_167,274129.717026,71617.038606,4313468943.12
Angry_168,231766.110693,69476.4525478,4933966446.05
Angry_169,667463.322734,132541.417311,17377187051.5
Angry_17,12716.5485751,5054.13581248,6207799.17899
Angry_170,449510.239119,120002.686987,17800227023.7
Angry_171,265665.48246,116424.425417,4742916498.39
Angry_172,323115.344381,59326.6553823,6586296235.57
Angry_173,519905.17732,155348.806849,18763103607.1
Angry_174,372145.789047,109250.027916,7772101619.13
Angry_175,244468.397023,25120.0740868,2335479405.87
Angry_176,535904.713218,128710.381705,15448789418.9
Angry_177,196856.114693,48191.3836723,1718079576.83
Angry_178,81060.9695855,21521.4609445,283270066.439
Angry_179,279617.217937,41971.8003885,2680925923.77
Angry_18,11593.32225,4791.08855707,8613193.5511
Angry_180,130522.597652,54701.0654233,1383984017.95
Angry_181,139662.878709,40032.2719816,1108752195.71
Angry_182,203375.943366,45041.9949248,1434280080.37
Angry_183,16305.4373057,9392.04837379,8572141.75943
Angry_184,147776.365309,51577.6240122,950645079.562
Angry_185,217018.189221,55108.3331793,2125113822.74
Angry_186,149155.307852,35880.1022763,811793082.864
Angry_187,11826.7856376,6693.65465506,5853438.40379
Angry_188,25609.5967441,9794.31302498,29664993.5896
Angry_189,11150.398241,4764.68143694,5742413.62328
Angry_19,14009.9240153,5114.42980777,6319170.29007
Angry_190,9248.25503897,4390.31706754,3875510.54481
Angry_191,7902.33993562,5002.34163958,2597504.68731
Angry_192,9507.14097162,4886.22176281,4337216.40942
Angry_193,19834.1188547,10789.5436985,23235093.0488
Angry_194,9244.12593316,4980.31616124,2551258.94344
Angry_195,7189.32570744,4855.97987815,2635661.77016
Angry_196,236743.350562,76517.5647769,3569543116.39
Angry_197,17971.7104407,4849.84964634,8111698.88953
