session,max(f0(f0)),mean(f0(f0)),var(f0(f0))
Angry_0,113.00625,33.1689630682,393.606280805
Angry_1,198.45,35.9028409091,394.29444683
Angry_10,163.996875,89.2481514085,1560.88308424
Angry_100,84.065625,46.7059090909,112.014614319
Angry_101,67.528125,33.4759090909,296.671423179
Angry_102,223.25625,48.8106818182,1147.68244529
Angry_103,163.3078125,61.3516193182,1234.60150159
Angry_104,465.1171875,61.8026420455,6098.12704908
Angry_105,150.215625,46.9314204545,860.327601267
Angry_106,146.08125,50.3767329545,1048.16130146
Angry_107,128.8546875,44.0874715909,604.239395285
Angry_108,166.0640625,41.0430681818,464.996122493
Angry_109,117.8296875,42.8972727273,429.920040147
Angry_11,150.215625,48.7312950721,552.131814033
Angry_110,113.00625,40.7925,198.113706179
Angry_111,145.3921875,36.3825,317.212599822
Angry_112,176.4,46.1671875,557.648023615
Angry_113,119.896875,38.5749715909,179.209319202
Angry_114,58.5703125,38.5373863636,111.827516766
Angry_115,233.5921875,50.4519034091,980.307360235
Angry_116,41.34375,28.7526988636,26.0272787158
Angry_117,1151.4234375,47.4983309659,14245.7763652
Angry_118,148.1484375,58.6329545455,798.595768224
Angry_119,166.0640625,66.8390625,920.745984375
Angry_12,169.509375,40.0909090909,1600.55050258
Angry_120,135.05625,59.4974147727,431.698408666
Angry_121,121.9640625,54.1728409091,528.753694646
Angry_122,152.2828125,63.4438636364,1385.69187934
Angry_123,175.7109375,62.8550284091,1432.08202696
Angry_124,151.59375,71.2490625,1261.63333093
Angry_125,155.728125,63.3686931818,990.844154471
Angry_126,161.9296875,62.7046875,1133.77036097
Angry_127,181.9125,69.8709375,1991.67950662
Angry_128,149.5265625,73.6294602273,1100.57561358
Angry_129,144.0140625,67.6408806818,688.966961627
Angry_13,106.8046875,37.3597159091,503.618268527
Angry_130,170.8875,76.3857102273,1256.83032328
Angry_131,181.2234375,81.9232670455,1274.22129196
Angry_132,150.9046875,62.9427272727,1224.78170536
Angry_133,137.8125,53.9598579545,881.049910944
Angry_134,195.0046875,64.9096875,949.465772674
Angry_135,226.7015625,68.8078125,1504.62943626
Angry_136,153.6609375,36.6455965909,340.34331961
Angry_137,188.1140625,36.5578977273,471.723786347
Angry_138,76.4859375,37.4599431818,72.8848563
Angry_139,161.240625,90.8591989437,807.109200838
Angry_14,68.90625,29.9053125,85.4929083452
Angry_140,183.290625,69.6704829545,702.864291608
Angry_141,170.1984375,74.3811647727,1058.53360053
Angry_142,162.61875,73.6419886364,1100.08589516
Angry_143,203.2734375,70.4848295455,1086.8019689
Angry_144,178.4671875,77.5633806818,1086.83806994
Angry_145,181.9125,80.1692897727,1554.79855852
Angry_146,239.79375,77.4120967742,1645.06369408
Angry_147,49.6125,16.227421875,140.32805993
Angry_148,372.09375,152.470738636,2420.28107408
Angry_149,490.6125,158.8978125,11351.1639602
Angry_15,1077.69375,56.6303365385,17211.9467724
Angry_150,442.378125,114.234034091,5469.94544546
Angry_151,538.846875,187.124318182,21450.7460602
Angry_152,452.7140625,134.279488636,8468.64362722
Angry_153,391.3875,131.297727273,6819.00418899
Angry_154,236.3484375,114.10875,1381.92355882
Angry_155,1451.8546875,189.016107955,69173.8369243
Angry_156,1497.3328125,202.095767045,45615.0087406
Angry_157,2129.203125,198.662982955,148010.070182
Angry_158,211.5421875,85.5314488636,2402.30055975
Angry_159,195.0046875,76.1226136364,2643.32647096
Angry_16,73.7296875,29.6672727273,262.273412502
Angry_160,187.425,91.5701420455,1565.06224056
Angry_161,182.6015625,72.4643181818,1810.91030866
Angry_162,152.971875,61.6523011364,1653.39677147
Angry_163,308.0109375,65.6739204545,3380.62456036
Angry_164,210.1640625,67.9916761364,2782.09446574
Angry_165,561.5859375,127.351278409,14242.1435511
Angry_166,208.7859375,55.7263636364,1901.18048305
Angry_167,188.803125,96.7569034091,2362.28962249
