session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Angry_0,9662.0,7702.68181818,1026088.28512
Angry_1,8059.0,7066.71428571,250605.580705
Angry_10,9439.0,8073.77464789,224646.090061
Angry_100,8652.0,7615.83636364,523615.264132
Angry_101,13011.0,7785.03636364,1316213.3805
Angry_102,8485.0,7523.34545455,194735.135207
Angry_103,8231.0,7384.8,160027.105455
Angry_104,8756.0,7330.98181818,475678.854215
Angry_105,8499.0,7256.52727273,243870.467438
Angry_106,7892.0,7274.4,143017.04
Angry_107,7922.0,7252.25454545,125885.098843
Angry_108,8649.0,7391.85454545,183551.942479
Angry_109,8126.0,7250.2,143200.96
Angry_11,9545.0,7578.46153846,180235.72929
Angry_110,8225.0,7213.23636364,145098.980496
Angry_111,8161.0,7351.30909091,168138.031736
Angry_112,8151.0,7213.12727273,221955.129256
Angry_113,8537.0,7378.4,211929.44
Angry_114,8495.0,7540.61818182,298695.326942
Angry_115,8257.0,7575.14545455,122241.65157
Angry_116,8341.0,7456.81818182,165932.185124
Angry_117,8859.0,7489.96590909,271186.805656
Angry_118,9360.0,7971.76363636,390835.962314
Angry_119,8803.0,7505.6,442271.621818
Angry_12,7921.0,7002.36363636,429480.958678
Angry_120,9784.0,7870.32727273,591709.96562
Angry_121,9035.0,7732.92727273,322818.758347
Angry_122,9540.0,7799.14545455,367332.487934
Angry_123,10634.0,8065.23636364,744873.635041
Angry_124,9001.0,7922.41818182,144433.297851
Angry_125,9783.0,7923.21818182,364239.952397
Angry_126,9037.0,7791.36363636,234578.195041
Angry_127,10185.0,7922.98181818,726207.363306
Angry_128,10813.0,7640.98181818,628876.417851
Angry_129,10983.0,7894.47272727,653091.012893
Angry_13,7998.0,7158.34545455,197096.77157
Angry_130,8915.0,7811.83636364,212440.173223
Angry_131,10884.0,7493.14545455,758574.415207
Angry_132,9913.0,7683.56363636,431338.53686
Angry_133,8955.0,7637.14545455,296504.85157
Angry_134,8432.0,7346.07272727,291399.849256
Angry_135,9177.0,7781.79220779,397415.047731
Angry_136,8478.0,7345.74545455,512235.644298
Angry_137,8430.0,7189.72727273,325590.961983
Angry_138,8336.0,7286.98863636,222467.783962
Angry_139,7954.0,7263.33802817,125135.604047
Angry_14,7673.0,6878.78181818,162495.18876
Angry_140,9310.0,8049.03636364,299989.489587
Angry_141,8793.0,8016.89090909,194843.842645
Angry_142,8708.0,7910.76363636,236889.671405
Angry_143,9079.0,7906.05454545,198776.669752
Angry_144,8820.0,8030.83636364,207037.33686
Angry_145,8894.0,8008.4,224107.403636
Angry_146,9321.0,8156.65591398,237297.150422
Angry_147,8275.0,7755.43333333,45202.5788889
Angry_148,7648.0,7029.58181818,103848.716033
Angry_149,7742.0,7083.23636364,107157.635041
Angry_15,8169.0,6911.38461538,361443.713609
Angry_150,7661.0,7145.12727273,95071.9656198
Angry_151,7578.0,6816.72727273,197728.307438
Angry_152,7816.0,7119.87272727,229924.547438
Angry_153,7815.0,6799.85454545,198196.669752
Angry_154,7825.0,7225.0,126358.8
Angry_155,7989.0,7069.6,212497.476364
Angry_156,7965.0,6613.05454545,389226.05157
Angry_157,7818.0,6794.21818182,305249.552397
Angry_158,7587.0,7087.67272727,133137.16562
Angry_159,7719.0,7234.45454545,104342.866116
Angry_16,9516.0,7710.98181818,162887.472397
Angry_160,7891.0,7319.38181818,88614.6360331
Angry_161,8645.0,7371.58181818,243759.625124
Angry_162,7967.0,7253.03636364,168261.81686
Angry_163,7576.0,7140.23636364,137413.307769
Angry_164,7662.0,7138.78181818,76876.025124
Angry_165,7646.0,7166.38181818,154748.781488
Angry_166,7962.0,7192.09090909,178742.009917
Angry_167,7678.0,7175.05454545,75884.778843
Angry_168,7513.0,7203.4,56333.44
Angry_169,7705.0,7239.01818182,79817.9087603
Angry_17,8367.0,7541.81818182,126224.94876
Angry_170,7740.0,7147.98181818,125882.126942
Angry_171,7800.0,7181.81818182,108467.239669
Angry_172,7646.0,7096.03636364,191532.435041
Angry_173,7716.0,7191.47272727,87002.6856198
Angry_174,7727.0,7181.0,149857.927273
Angry_175,7692.0,7023.83636364,111993.73686
Angry_176,7605.0,6977.10810811,160526.609934
Angry_177,9819.0,7503.45454545,283029.338843
Angry_178,7735.0,6974.38181818,136865.981488
Angry_179,8249.0,7322.85454545,140799.506116
Angry_18,8253.0,7521.50909091,169597.522645
Angry_180,8319.0,7433.12727273,152217.092893
Angry_181,8381.0,7376.36363636,293470.922314
Angry_182,9101.0,7260.69512195,163406.577781
Angry_183,8064.0,7166.38636364,84100.4643595
Angry_184,8384.0,7811.84946237,63544.9665857
Angry_185,8281.0,6975.2,233293.214545
Angry_186,7690.0,6653.25,197843.164773
Angry_187,8148.0,7360.0,108026.872727
Angry_188,7712.0,7078.68181818,102432.012397
Angry_189,8301.0,7217.10909091,151441.951736
Angry_19,8522.0,7398.92727273,182984.831074
Angry_190,7890.0,7254.74545455,131053.462479
Angry_191,8186.0,7460.54545455,212185.266116
Angry_192,8193.0,7173.94545455,166565.978843
Angry_193,7559.0,6899.12727273,175954.329256
Angry_194,7984.0,7175.94366197,182309.179925
Angry_195,7922.0,7290.52631579,141263.354571
Angry_196,8953.0,7583.45454545,282271.01157
Angry_197,8320.0,7228.81818182,193363.566942
Angry_198,7940.0,7119.90909091,194665.13719
Angry_199,7896.0,7174.56363636,190383.191405
Angry_2,8230.0,7437.36363636,181602.995041
Angry_20,8378.0,7292.96363636,211629.453223
Angry_200,7900.0,7289.34545455,71147.2079339
Angry_201,8067.0,7241.03636364,147700.762314
Angry_202,8802.0,7398.70909091,121058.351736
Angry_203,8545.0,7346.27272727,140405.071074
Angry_204,8416.0,7456.61818182,72361.8360331
Angry_205,8360.0,7238.54545455,191579.084298
Angry_206,7702.0,7101.52727273,77773.8492562
Angry_207,7730.0,7077.1827957,145073.547231
Angry_208,9190.0,7190.54545455,285943.193388
Angry_209,8345.0,7051.54545455,361662.657025
Angry_21,8209.0,7471.87272727,153035.274711
Angry_210,7909.0,7272.85915493,134251.642134
Angry_211,7734.0,6967.47272727,232414.321983
Angry_212,8145.0,7473.89090909,138045.733554
Angry_213,9667.0,7420.75961538,294517.663369
Angry_214,8119.0,7517.92727273,100724.503802
Angry_215,8498.0,7376.43636364,226943.04595
Angry_216,8980.0,7722.89090909,153773.224463
Angry_217,8409.0,7569.47272727,231615.340165
Angry_218,9243.0,7586.87272727,279737.892893
Angry_219,8673.0,7442.72727273,295784.052893
Angry_22,8039.0,7324.76363636,157348.689587
Angry_220,8840.0,7639.96363636,395645.198678
Angry_221,8790.0,7591.81818182,384378.621488
Angry_222,8159.0,7285.43636364,112687.84595
Angry_223,8333.0,7345.01818182,246961.872397
Angry_224,8704.0,7386.56363636,347223.591405
Angry_225,10649.0,7444.15492958,428270.581631
Angry_226,8790.0,7841.27272727,113534.089256
Angry_227,8641.0,7874.05454545,178690.524298
Angry_228,8634.0,7884.0,158604.690909
Angry_229,8986.0,7819.61818182,145772.672397
Angry_23,8493.0,7761.16363636,129052.682314
Angry_230,9268.0,7734.83636364,317008.53686
Angry_231,8473.0,7892.88505747,141025.228168
Angry_24,8633.0,7527.36363636,285897.213223
Angry_25,8404.0,7453.07272727,122711.521983
Angry_26,8438.0,7345.50909091,203454.104463
Angry_27,8246.0,7149.72727273,210169.798347
Angry_28,8188.0,7389.32727273,150449.311074
Angry_29,8144.0,7423.78181818,146360.461488
Angry_3,8413.0,7492.25454545,203329.789752
Angry_30,7847.0,7031.23636364,143225.780496
Angry_31,8078.0,7112.6,222914.930909
Angry_32,7992.0,7223.30909091,152659.049917
Angry_33,8325.0,7302.74545455,190262.698843
Angry_34,8352.0,7383.14545455,151726.306116
Angry_35,8349.0,7369.49090909,221276.104463
Angry_36,8249.0,7129.72727273,179478.343802
Angry_37,7858.0,7234.41818182,144286.606942
Angry_38,7855.0,7127.98181818,138770.526942
Angry_39,7750.0,6981.90909091,112480.628099
Angry_4,8221.0,7180.97560976,93136.7798929
Angry_40,8364.0,7249.69090909,171886.57719
Angry_41,8368.0,7242.14545455,204080.815207
Angry_42,7877.0,7135.58181818,163017.443306
Angry_43,7918.0,7163.6,189622.494545
Angry_44,7802.0,7298.23636364,80503.162314
Angry_45,8250.0,7250.10909091,140503.69719
Angry_46,8639.0,7424.36363636,139074.013223
Angry_47,8564.0,7355.25454545,184933.862479
Angry_48,7882.0,7429.49090909,55081.2680992
Angry_49,8145.0,7207.6,196764.64
Angry_5,7703.0,7323.41818182,46511.625124
Angry_50,7507.0,7096.98181818,65360.4542149
Angry_51,7742.0,6990.98181818,163922.854215
Angry_52,8029.0,7206.27272727,129537.907438
Angry_53,8488.0,7291.12727273,152087.311074
